id,ancestor_list,loc,trait,origin_time,island,niche,ancestor_id
0,[none],0,,0,0,0,0
115213,[0],16397,161936.64,115213,512,0,0
273104,[115213],8771,272853.16,194159,274,0,115213
344481,[115213],23534,306297.7,217951,735,0,115213
420228,[344481],21213,332893.56,236888,662,0,344481
426710,[273104],5929,334715.94,238185,185,0,273104
459668,[426710],7841,342426.88,243678,245,0,426710
477187,[426710],5355,345940.84,246181,167,0,426710
501681,[344481],27643,350252.47,249242,863,0,344481
508267,[420228],21964,351286.94,249974,686,0,420228
518248,[501681],26880,352683.6,250972,840,0,501681
545636,[508267],23201,356163.5,253462,725,0,508267
547553,[420228],18040,356409.4,253622,563,0,420228
558093,[459668],11381,357518.6,254433,355,0,459668
562645,[547553],17225,357999.28,254758,538,0,547553
577306,[518248],29302,359372.56,255735,915,0,518248
587391,[558093],11008,360215.34,256366,344,0,558093
600495,[477187],5406,361327.16,257137,168,0,477187
605572,[459668],6547,361737.84,257419,204,0,459668
609911,[547553],18558,362071.1,257647,579,0,547553
612496,[577306],29253,362248.88,257776,914,0,577306
623708,[518248],25818,362994.2,258310,806,0,518248
626903,[477187],1494,363175.03,258456,46,0,477187
629765,[562645],17181,363365.53,258580,536,0,562645
638010,[626903],1863,363832.7,258924,58,0,626903
643477,[623708],25552,364175.3,259142,798,0,623708
644023,[643477],25605,364204.12,259163,800,0,643477
648583,[545636],23352,364397.28,259332,729,0,545636
653383,[600495],4226,364651.06,259504,132,0,600495
655010,[605572],8021,364722.62,259560,250,0,605572
658769,[609911],18813,364918.4,259685,587,0,609911
664503,[658769],18671,365171.25,259870,583,0,658769
677446,[638010],1621,365729.88,260275,50,0,638010
682369,[655010],7939,365935.4,260424,248,0,655010
682731,[612496],30120,365962.2,260434,941,0,612496
693402,[644023],26058,366412.53,260739,814,0,644023
693452,[605572],6438,366407.7,260741,201,0,605572
694910,[508267],20740,366426.72,260780,648,0,508267
697472,[677446],1884,366535.06,260848,58,0,677446
701258,[653383],4537,366680.94,260945,141,0,653383
701673,[664503],18590,366699.16,260955,580,0,664503
705758,[600495],5364,366841.84,261055,167,0,600495
706145,[273104],13268,366816.1,261064,414,0,273104
707028,[501681],32567,366845.0,261084,1017,0,501681
707628,[658769],19614,366884.1,261098,612,0,658769
708696,[587391],10977,366893.4,261122,343,0,587391
711295,[612496],29048,367010.72,261178,907,0,612496
712888,[644023],25205,367077.25,261212,787,0,644023
714103,[638010],2669,367076.1,261238,83,0,638010
714115,[708696],10936,367056.47,261238,341,0,708696
714189,[623708],27452,367090.9,261239,857,0,623708
715714,[712888],25036,367154.53,261269,782,0,712888
716323,[629765],15691,367134.0,261281,490,0,629765
717175,[701673],18746,367174.97,261297,585,0,701673
718100,[648583],22840,367179.12,261314,713,0,648583
719848,[629765],16932,367246.0,261346,529,0,629765
720545,[682731],30528,367261.28,261358,954,0,682731
720683,[558093],11766,367228.1,261361,367,0,558093
721602,[693452],6779,367291.8,261377,211,0,693452
721766,[626903],455,367266.28,261380,14,0,626903
722931,[562645],14074,367275.94,261399,439,0,562645
723335,[697472],2172,367312.3,261406,67,0,697472
723845,[587391],10092,367303.94,261414,315,0,587391
727340,[712888],25376,367445.38,261469,793,0,712888
732079,[714189],27311,367514.03,261543,853,0,714189
733533,[721602],6773,367555.47,261566,211,0,721602
733844,[720545],30801,367547.8,261570,962,0,720545
734125,[701258],4222,367558.4,261575,131,0,701258
734976,[545636],21700,367558.88,261587,678,0,545636
735331,[693402],26387,367602.8,261592,824,0,693402
736702,[706145],13122,367579.6,261612,410,0,706145
736933,[734976],21742,367598.9,261615,679,0,734976
738252,[707028],32606,367612.22,261633,1018,0,707028
738384,[735331],26384,367666.2,261635,824,0,735331
739468,[716323],15285,367649.2,261650,477,0,716323
739690,[722931],13919,367630.84,261653,434,0,722931
739806,[577306],31812,367639.97,261654,994,0,577306
740495,[720545],30445,367687.2,261663,951,0,720545
743565,[655010],9312,367712.44,261703,291,0,655010
743696,[733844],30965,367731.12,261704,967,0,733844
743987,[707628],19850,367738.78,261708,620,0,707628
744857,[714115],10969,367723.1,261719,342,0,714115
745571,[677446],964,367757.6,261728,30,0,677446
746916,[682369],8469,367792.56,261744,264,0,682369
747498,[693452],6080,367814.7,261751,190,0,693452
747810,[711295],29242,367813.6,261754,913,0,711295
748366,[714115],10533,367779.53,261761,329,0,714115
748703,[733533],6664,367840.84,261765,208,0,733533
748938,[682731],29901,367819.62,261767,934,0,682731
750072,[694910],21202,367820.12,261780,662,0,694910
750312,[723845],9806,367812.84,261783,306,0,723845
751151,[609911],17620,367865.16,261792,550,0,609911
751203,[714103],2951,367851.9,261793,92,0,714103
752220,[745571],1043,367867.28,261804,32,0,745571
752572,[738384],26577,367899.84,261807,830,0,738384
753326,[715714],24807,367915.9,261815,775,0,715714
753784,[719848],16954,367911.4,261820,529,0,719848
754167,[739468],15085,367888.06,261824,471,0,739468
754666,[717175],18644,367923.56,261829,582,0,717175
754827,[747498],6206,367922.84,261831,193,0,747498
754840,[748366],10450,367885.47,261831,326,0,748366
755664,[716323],15700,367926.75,261839,490,0,716323
755898,[738384],26313,367952.47,261841,822,0,738384
756106,[752572],26610,367948.53,261843,831,0,752572
756358,[682369],7842,367925.97,261846,245,0,682369
756665,[747498],5973,367948.03,261849,186,0,747498
756704,[751151],17646,367941.9,261849,551,0,751151
757117,[736702],13120,367918.06,261853,410,0,736702
757985,[722931],14418,367925.9,261861,450,0,722931
758128,[727340],25486,367993.8,261862,796,0,727340
758219,[664503],19168,367972.25,261863,599,0,664503
758429,[755664],15730,367964.0,261865,491,0,755664
758716,[723335],1949,367956.22,261868,60,0,723335
759118,[743987],19855,367967.6,261871,620,0,743987
759402,[734125],3986,367965.12,261874,124,0,734125
759907,[753784],16914,367988.62,261878,528,0,753784
760025,[751151],17496,367982.56,261879,546,0,751151
760956,[719848],16474,367991.22,261887,514,0,719848
761135,[745571],865,367991.06,261889,27,0,745571
761632,[748703],6586,368015.6,261893,205,0,748703
762449,[761135],788,368004.06,261900,24,0,761135
762580,[751203],3104,368003.03,261901,97,0,751203
762608,[748366],10649,367977.25,261901,332,0,748366
762825,[762580],3147,368005.47,261903,98,0,762580
762917,[732079],27607,368014.66,261903,862,0,732079
762971,[743565],9419,367995.84,261904,294,0,743565
763009,[754666],18599,368028.72,261904,581,0,754666
763563,[739806],31904,367995.25,261908,997,0,739806
763631,[758429],15837,368021.2,261909,494,0,758429
764012,[754167],14990,368006.78,261912,468,0,754167
764938,[701673],17990,368032.84,261919,562,0,701673
764979,[748938],29778,368041.34,261919,930,0,748938
765950,[746916],8441,368042.84,261927,263,0,746916
766033,[747810],29294,368062.53,261927,915,0,747810
766816,[643477],23555,368058.75,261933,736,0,643477
767036,[708696],11351,368023.53,261935,354,0,708696
767285,[761632],6552,368078.75,261937,204,0,761632
767301,[754840],10327,368026.88,261937,322,0,754840
767627,[734976],21552,368049.25,261939,673,0,734976
767636,[753326],24624,368084.66,261939,769,0,753326
768241,[714103],2650,368067.28,261944,82,0,714103
768944,[723335],2292,368068.75,261949,71,0,723335
769202,[766033],29322,368091.1,261950,916,0,766033
769829,[743565],9081,368064.6,261955,283,0,743565
770099,[705758],5147,368094.6,261957,160,0,705758
770181,[766816],23555,368093.34,261957,736,0,766816
770298,[759907],16984,368102.53,261958,530,0,759907
770763,[736933],21935,368073.56,261961,685,0,736933
770945,[740495],30545,368103.72,261962,954,0,740495
771012,[720683],11670,368066.62,261963,364,0,720683
771015,[757117],13019,368072.34,261963,406,0,757117
771016,[757117],13185,368070.88,261963,412,0,757117
771459,[762608],10625,368069.06,261966,332,0,762608
771557,[707028],32289,368083.1,261966,1009,0,707028
