id,ancestor_list,loc,trait,origin_time,island,niche,ancestor_id
0,[none],0,,0,0,0,0
305849,[0],24797,42233.117,50975,774,3,0
418880,[0],6981,55602.53,67123,218,0,0
504748,[305849],24927,64442.258,77856,778,3,305849
1118464,[0],18106,120762.1,146047,565,3,0
1231059,[0],32402,130160.305,157306,1012,2,0
1294039,[0],19530,134829.45,163032,610,1,0
1461135,[418880],4326,146410.31,176957,135,0,418880
1539161,[1461135],4608,151350.42,182959,144,0,1461135
1815233,[0],22564,167584.34,202678,705,0,0
1910277,[1231059],27412,172868.23,209014,856,2,1231059
1953254,[1231059],4212,175115.1,211701,131,2,1231059
2003778,[1953254],3888,177568.86,214673,121,2,1953254
2005772,[1910277],26740,177639.8,214783,835,2,1910277
2082972,[2003778],3128,180994.45,218847,97,3,2003778
2270451,[2082972],1915,188741.39,228221,59,3,2082972
2304428,[2270451],1260,190057.06,229839,39,1,2270451
2371242,[2270451],1372,192595.23,232876,42,3,2270451
2404322,[418880],12006,193739.03,234314,375,0,418880
2431613,[1118464],20477,194701.72,235451,639,3,1118464
2443321,[2005772],28302,195084.11,235919,884,1,2005772
2471261,[1815233],20068,195912.36,236994,627,0,1815233
2491784,[504748],21205,196566.97,237754,662,2,504748
2502529,[1294039],12648,196868.44,238138,395,1,1294039
2544380,[1294039],19754,198126.94,239581,617,1,1294039
2573560,[1953254],7414,198932.23,240554,231,2,1953254
2579011,[2371242],2812,199080.38,240730,87,3,2371242
2605725,[1910277],29525,199761.98,241564,922,2,1910277
2623587,[1539161],5318,200178.75,242106,166,0,1539161
2632362,[2082972],8632,200376.28,242364,269,3,2082972
2650900,[1461135],608,200820.1,242894,19,0,1461135
2741542,[2005772],27654,202863.8,245411,864,0,2005772
2775750,[1539161],12504,203653.84,246336,390,3,1539161
2777677,[2304428],3244,203675.83,246387,101,1,2304428
2784104,[2605725],30420,203894.19,246551,950,2,2605725
2802896,[305849],23660,204238.03,247021,739,1,305849
2811253,[2471261],19747,204369.1,247225,617,0,2471261
2826137,[2650900],32646,204705.69,247579,1020,0,2650900
2835401,[2775750],13180,204850.34,247795,411,3,2775750
2854590,[2544380],19019,205278.27,248231,594,1,2544380
2863192,[2431613],21951,205417.66,248422,685,3,2431613
2870562,[2443321],30539,205550.25,248582,954,1,2443321
2898171,[2404322],12128,206049.4,249170,379,0,2404322
2906330,[2898171],12033,206193.12,249340,376,0,2898171
2936137,[2863192],21338,206666.27,249948,666,3,2863192
2947445,[504748],27613,206860.12,250174,862,3,504748
2951619,[2491784],21747,206910.27,250256,679,2,2491784
2965525,[2003778],3602,207149.08,250524,112,2,2003778
2984025,[2777677],4683,207403.34,250873,146,1,2777677
2990654,[2826137],31493,207510.61,250995,984,0,2826137
3024785,[2431613],18303,207997.2,251616,571,3,2431613
3036336,[2947445],27000,208224.66,251822,843,3,2947445
3046555,[2965525],3090,208352.92,252002,96,2,2965525
3051828,[2371242],1151,208446.7,252093,35,3,2371242
3053757,[1815233],22723,208389.53,252125,710,0,1815233
3061992,[2870562],31564,208574.22,252262,986,1,2870562
3072751,[2906330],12160,208757.31,252439,380,0,2906330
3126115,[3046555],2418,209418.47,253300,75,2,3046555
3126948,[2502529],10122,209376.34,253313,316,1,2502529
3134813,[2984025],5130,209518.0,253436,160,1,2984025
3172734,[2951619],20887,210026.81,254019,652,2,2951619
3183300,[2951619],23153,210136.75,254179,723,2,2951619
3215221,[2623587],4642,210590.17,254656,145,0,2623587
3220678,[2835401],13951,210578.9,254736,435,3,2835401
3226824,[2854590],17484,210692.67,254825,546,1,2854590
3230319,[2404322],14135,210707.2,254875,441,2,2404322
3254634,[2784104],30805,211068.48,255217,962,2,2784104
3257889,[2579011],4060,211068.94,255263,126,3,2579011
3258742,[3036336],26969,211102.31,255274,842,3,3036336
3274432,[2605725],28273,211278.64,255486,883,2,2605725
3279184,[3134813],5770,211235.44,255550,180,1,3134813
3288738,[2990654],31012,211369.06,255675,969,0,2990654
3301502,[2863192],22815,211537.2,255841,712,3,2863192
3304190,[3215221],4807,211598.83,255876,150,0,3215221
3313386,[2854590],19343,211678.45,255992,604,1,2854590
3325856,[3230319],14641,211741.89,256148,457,2,3230319
3338962,[2623587],7943,211911.1,256310,248,0,2623587
3345535,[2898171],14343,211989.69,256390,448,0,2898171
3365199,[3072751],11111,212190.31,256627,347,0,3072751
3369149,[3072751],13093,212256.3,256674,409,0,3072751
3374983,[3051828],1470,212314.44,256743,45,3,3051828
3389885,[2573560],9842,212390.6,256916,307,2,2573560
3407243,[3258742],27548,212636.22,257115,860,3,3258742
3419321,[2650900],2720,212688.38,257253,85,0,2650900
3420820,[3061992],31016,212699.8,257269,969,1,3061992
3425672,[2870562],28873,212752.14,257323,902,1,2870562
3441391,[2936137],20094,212917.31,257496,627,3,2936137
3441468,[3220678],14398,212868.39,257497,449,3,3220678
3444542,[3226824],16777,212905.0,257530,524,1,3226824
3445094,[3220678],13113,212894.53,257536,409,3,3220678
3456059,[3407243],27483,213089.28,257651,858,3,3407243
