regime ,quality ,sensitivity_analysis_variables ,quartet_distance mean,quartet_distance median,quartet_distance std,quartet_distance max
rich ecology,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.00991070688176371,0.00179224628386365,0.01977932169124566,0.0725836098026465
rich ecology,10% resolution,epoch=2+mut_distn=np.random.exponential,0.00602706159590092,0.00098316062883605,0.015731066633024336,0.0756987285657623
rich ecology,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0079218470434283,0.00155045887866765,0.01788072942235681,0.0943462408202773
rich ecology,10% resolution,epoch=7+mut_distn=np.random.exponential,0.008827248794087007,0.00166871415903115,0.01757703294378792,0.0710027232361682
rich ecology,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.011383228394424105,0.0017334828840591,0.022180349851273633,0.0830281302544855
rich ecology,3% resolution,epoch=0+mut_distn=np.random.exponential,3.420225034535491e-05,3.2193968108464626e-06,0.00012248506708798334,0.0008114071410469
rich ecology,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.005605854945246858,1.8607097812825795e-05,0.0176702290523075,0.093782669645866
rich ecology,3% resolution,epoch=2+mut_distn=np.random.exponential,0.0016901425198125944,3.955247283257537e-06,0.007724509707151849,0.0468903047487868
rich ecology,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0025625153421432972,7.543402373612969e-06,0.013799351271703595,0.0937713686469096
rich ecology,3% resolution,epoch=7+mut_distn=np.random.exponential,0.0036031888422627693,6.919305617099449e-06,0.012289512028861343,0.0527629116934612
rich ecology,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.004200900067486077,5.0348165528339096e-05,0.014444388999255335,0.076420717921492
rich ecology,33% resolution,epoch=0+mut_distn=np.random.exponential,0.04542286635863741,0.010275068069851151,0.05231839116135757,0.2444143465953747
rich ecology,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.04605726179432448,0.052647555259871,0.042568699125159884,0.1443378744285045
rich ecology,33% resolution,epoch=2+mut_distn=np.random.exponential,0.027181349565007683,0.008656178236618,0.030308358397113922,0.1439093451725872
rich ecology,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.03213864763688415,0.008911833505705749,0.03652024620750414,0.1393884747330371
rich ecology,33% resolution,epoch=7+mut_distn=np.random.exponential,0.02633098180864804,0.00699254359004705,0.03797038327255214,0.1735941602764581
rich ecology,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.03383596594266411,0.0093841939745865,0.03550449760985605,0.1393868052708843
spatial structure,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0007560699220194493,1.2909783790022433e-08,0.004844847043058381,0.0342537435263869
spatial structure,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.008522860012911096,1.1733353057708636e-08,0.023263352836790586,0.0961621892111657
spatial structure,1% resolution,epoch=2+mut_distn=np.random.exponential,1.3183519676805375e-06,9.457721654693564e-09,5.664677747594144e-06,3.4805040507857834e-05
spatial structure,1% resolution,epoch=2+mut_distn=np.random.standard_normal,1.399808956272796e-06,7.081434448646968e-09,5.520826793121534e-06,3.058003329153782e-05
spatial structure,1% resolution,epoch=7+mut_distn=np.random.exponential,0.0020515358439458283,1.4092753677299514e-08,0.012463769589590787,0.0872445213613924
spatial structure,1% resolution,epoch=7+mut_distn=np.random.standard_normal,4.076626418468206e-06,1.0455498173268717e-08,2.0105384667209833e-05,0.0001392356344922
spatial structure,10% resolution,epoch=0+mut_distn=np.random.exponential,0.00960606782134843,0.0001866390482195,0.025634528409340128,0.113783956908755
spatial structure,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.018978368316216094,0.000176479270285,0.0418430047060747,0.2232182825184763
spatial structure,10% resolution,epoch=2+mut_distn=np.random.exponential,0.0007795147789627947,7.28130685395696e-05,0.002918176155077738,0.0203892114289348
spatial structure,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.009198615880658002,0.00036633267486234995,0.022112631826396997,0.0886778165058223
spatial structure,10% resolution,epoch=7+mut_distn=np.random.exponential,0.005764280431281331,0.00058139156026225,0.016427646984443343,0.0872915922539019
spatial structure,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.0034089142758355283,5.374765196156576e-05,0.011282160312233227,0.0533132541036293
spatial structure,3% resolution,epoch=0+mut_distn=np.random.exponential,0.007743259622781631,1.4080563286221375e-05,0.024939855248943675,0.1264167096495362
spatial structure,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.00718108143785948,5.755688497465379e-06,0.024782663063076357,0.1056974918378538
spatial structure,3% resolution,epoch=2+mut_distn=np.random.exponential,7.384919636496765e-05,1.0083751921743907e-06,0.00033265344588641473,0.0018313201270701
spatial structure,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0005531434310120622,3.512117583396583e-06,0.0032349500517453098,0.0227949304230697
spatial structure,3% resolution,epoch=7+mut_distn=np.random.exponential,0.002503203025544472,4.460375402732412e-06,0.012532810716087714,0.0872770189467948
spatial structure,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.0008785380244686042,3.4670807276474825e-06,0.005403031216417857,0.0380983817532154
spatial structure,33% resolution,epoch=0+mut_distn=np.random.exponential,0.04310037489032918,0.030721604106828698,0.04956129329967715,0.2089933503183033
spatial structure,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.05770948883970965,0.0493448482639077,0.058024400233673064,0.2557671632427289
spatial structure,33% resolution,epoch=2+mut_distn=np.random.exponential,0.008476266203124073,0.0029032084532048,0.012594277298552796,0.0472693827487499
spatial structure,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.024642130187513538,0.0101171758478809,0.030650531056229568,0.1020545894285853
spatial structure,33% resolution,epoch=7+mut_distn=np.random.exponential,0.019565607860433723,0.00811529627906985,0.025598396871389793,0.1044347840482445
spatial structure,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.014850377455330792,0.0044777939492496,0.02110589670849576,0.0915069961254957
weak ecology,1% resolution,epoch=0+mut_distn=np.random.exponential,0.00022964020187466683,3.581286902069765e-06,0.0009189430157405324,0.0048035787616993
weak ecology,1% resolution,epoch=0+mut_distn=np.random.standard_normal,7.180841974321347e-05,2.448465997362126e-06,0.0002481033554999719,0.0013866825614818
weak ecology,1% resolution,epoch=2+mut_distn=np.random.exponential,0.0005524042116130125,4.222119406671912e-06,0.0030701437233136425,0.0216562209788388
weak ecology,1% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0013961095291011446,2.6158791818556896e-06,0.006849579754668366,0.0471504014228296
weak ecology,1% resolution,epoch=7+mut_distn=np.random.exponential,5.0606139801053204e-05,4.684406457944702e-06,0.0001570911051701881,0.0008736838125059
weak ecology,1% resolution,epoch=7+mut_distn=np.random.standard_normal,4.2667326310748594e-05,1.5001545577384483e-06,0.0001722572294825009,0.0009547850630392
weak ecology,10% resolution,epoch=0+mut_distn=np.random.exponential,0.012244162549238973,0.00554883794604585,0.021724495440998366,0.1034353148435362
weak ecology,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.011490786815678404,0.007945000366821098,0.018484986938953958,0.1041561503255958
weak ecology,10% resolution,epoch=2+mut_distn=np.random.exponential,0.018792801493740255,0.008155145653894798,0.030509053572154707,0.1166312724191782
weak ecology,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.011539764338248689,0.00665123945356515,0.019581905731484182,0.1016289732416067
weak ecology,10% resolution,epoch=7+mut_distn=np.random.exponential,0.01704731066734374,0.0075533257399777,0.027255702791011152,0.1119070019965714
weak ecology,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.016288780351364995,0.0072076076231877995,0.026646995279279793,0.1159072968834878
weak ecology,3% resolution,epoch=0+mut_distn=np.random.exponential,0.005129451010766153,8.36194743405737e-06,0.019114396773432983,0.0978164364096104
weak ecology,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.0006927453453756577,0.00010078187550451159,0.0018609813385186194,0.0098557044576874
weak ecology,3% resolution,epoch=2+mut_distn=np.random.exponential,0.0085279389053084,2.90368318496023e-05,0.02551010705155139,0.0958160145433483
weak ecology,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.005500420241166459,9.043802667285002e-05,0.018757165993169934,0.1001633596054298
weak ecology,3% resolution,epoch=7+mut_distn=np.random.exponential,0.00795913940878367,1.5514694762818596e-05,0.02341400876417691,0.1027927833387609
weak ecology,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.003234620693273696,9.001365207819283e-05,0.013713006266224542,0.0937676056622998
weak ecology,33% resolution,epoch=0+mut_distn=np.random.exponential,0.04137175543458417,0.0306095300780168,0.03230713056285019,0.1360505364970184
weak ecology,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.046524804595583225,0.02781628944000815,0.03900276563074368,0.1609133584686035
weak ecology,33% resolution,epoch=2+mut_distn=np.random.exponential,0.04236280757464119,0.0285484849078601,0.033369674044552856,0.1260091813649592
weak ecology,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.03861193784953897,0.025364971951674697,0.03362796461916915,0.1491907570220279
weak ecology,33% resolution,epoch=7+mut_distn=np.random.exponential,0.046682873923330044,0.0290835625225868,0.03628837836927062,0.1398227841796463
weak ecology,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.03556173422811543,0.026577600567388802,0.029654321297150954,0.130329682738701
