regime ,quality ,sensitivity_analysis_variables ,triplet_distance mean,triplet_distance median,triplet_distance std,triplet_distance max
plain,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.008439589420278136,0.0001254508714601,0.03465428869292752,0.240024362696567
plain,3% resolution,epoch=2+mut_distn=np.random.exponential,0.004369846438280343,8.50129490091089e-06,0.020080502244194547,0.1358366563963336
plain,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.007505641591917224,7.683539988396923e-05,0.016845004357371227,0.0720402667990695
plain,3% resolution,epoch=7+mut_distn=np.random.exponential,0.007808429274126077,4.434647181251152e-05,0.02899923638648924,0.1994626752091935
plain,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.0037670496283208933,0.0001549322393123,0.01142358689437013,0.0672571493868478
plain,33% resolution,epoch=0+mut_distn=np.random.exponential,0.11387959482681773,0.08049035803519289,0.08938264065018839,0.4042084423129544
plain,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.1282689426689091,0.10312566916982466,0.08955087925167907,0.4640609034505604
plain,33% resolution,epoch=2+mut_distn=np.random.exponential,0.12417502222318136,0.11435020216350385,0.07931820504834029,0.3269504624750192
plain,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.12579250783568022,0.09618149157939396,0.104767924747569,0.5286089072259236
plain,33% resolution,epoch=7+mut_distn=np.random.exponential,0.13073974621281143,0.09867471600676636,0.10293846526263516,0.5291859005022671
plain,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.1296903541994991,0.11939510970674234,0.08887048648440761,0.4605587072119831
rich ecology,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0028268768434165843,1.2074045583628375e-06,0.01988746505979559,0.1406396995515026
rich ecology,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.00540040125195193,4.5882697335924104e-07,0.022361557106672012,0.1406378851544088
rich ecology,1% resolution,epoch=2+mut_distn=np.random.exponential,0.00024454596083761204,4.1094570866143305e-07,0.0016563131888307628,0.0117203989106373
rich ecology,1% resolution,epoch=2+mut_distn=np.random.standard_normal,6.987093364193455e-06,5.413241891514668e-07,2.2340916148890244e-05,0.0001410853896176
rich ecology,1% resolution,epoch=7+mut_distn=np.random.exponential,7.3444238990985835e-06,5.840034637162662e-07,2.27430107074822e-05,0.0001370156963239
rich ecology,1% resolution,epoch=7+mut_distn=np.random.standard_normal,1.671263937181227e-05,6.439984310289014e-07,6.150448067599392e-05,0.0004085691686736
rich ecology,10% resolution,epoch=0+mut_distn=np.random.exponential,0.0048194868692443635,0.00036036803052925,0.023524274811202357,0.1526410376433502
rich ecology,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.013100610296239143,0.0005109283762583,0.03373872602997129,0.1408860028434418
rich ecology,10% resolution,epoch=2+mut_distn=np.random.exponential,0.01510790756150164,0.0003250817418996,0.04666926339494865,0.2584662680845201
rich ecology,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.005336221145772776,0.0004320325320714,0.01620639676889164,0.0939162610360252
rich ecology,10% resolution,epoch=7+mut_distn=np.random.exponential,0.007203112207684405,0.0005011049899882501,0.02020079620806123,0.1175491829071259
rich ecology,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.012415226770225076,0.0005189566658549,0.027216990058578572,0.1060527535653616
rich ecology,3% resolution,epoch=0+mut_distn=np.random.exponential,9.602630662161294e-06,8.435885187492165e-07,3.499677341063949e-05,0.0002317782470641
rich ecology,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.011311501595647413,5.197414216765021e-06,0.042602509728859705,0.2461164286323054
rich ecology,3% resolution,epoch=2+mut_distn=np.random.exponential,0.003562554833148908,1.0779668941657924e-06,0.020118140351472493,0.1406387071822628
rich ecology,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0021379371145161135,2.046467216081475e-06,0.013325149212928454,0.0937596492157032
rich ecology,3% resolution,epoch=7+mut_distn=np.random.exponential,0.0018995775221074243,1.7708106856967733e-06,0.0068418466780001165,0.0351645152124311
rich ecology,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.002873633358629066,1.3159249762342207e-05,0.010460966100054054,0.0586042854093943
rich ecology,33% resolution,epoch=0+mut_distn=np.random.exponential,0.07593601178643394,0.0192996671715568,0.09343339674462667,0.3292885573280343
rich ecology,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.07712488196764132,0.0253868944004165,0.0864336278514348,0.3293785056197317
rich ecology,33% resolution,epoch=2+mut_distn=np.random.exponential,0.04062164804660655,0.00756947339537635,0.06044963413478221,0.2599570014824695
rich ecology,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.04006840967046424,0.0128936340818635,0.057381888126954744,0.2243707647177791
rich ecology,33% resolution,epoch=7+mut_distn=np.random.exponential,0.033549845296552305,0.00204593397252615,0.060669800364143246,0.2128440220079798
rich ecology,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.03914168029824745,0.0132118073777464,0.051547833625081294,0.2005020096803682
spatial structure,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0007294101645367975,3.2320147862646438e-09,0.00501154851087858,0.0354515791571671
spatial structure,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.008537335947148476,2.9372262496144183e-09,0.023833031549531754,0.0991001457745489
spatial structure,1% resolution,epoch=2+mut_distn=np.random.exponential,3.401972341436295e-07,2.367006132582291e-09,1.465872359323227e-06,9.022868087560922e-06
spatial structure,1% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0012825120597501683,1.7720568643703648e-09,0.00906611874648118,0.0641075089176104
spatial structure,1% resolution,epoch=7+mut_distn=np.random.exponential,0.0014638945701989292,3.531066969670008e-09,0.009583960291718274,0.0676743922085982
spatial structure,1% resolution,epoch=7+mut_distn=np.random.standard_normal,1.0781288035931307e-06,2.6175380159141868e-09,5.354373307457917e-06,3.711144478015436e-05
spatial structure,10% resolution,epoch=0+mut_distn=np.random.exponential,0.01117720452640857,4.930171515723147e-05,0.03606739064700559,0.1833057652291641
spatial structure,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.019390132516586375,4.693741746361392e-05,0.05349246607818682,0.3348320259742467
spatial structure,10% resolution,epoch=2+mut_distn=np.random.exponential,0.00961142752749535,2.2169561836573922e-05,0.03787842540548779,0.1876560918380725
spatial structure,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.026690532555457402,0.00012196082478,0.06804643639750549,0.2904704132153495
spatial structure,10% resolution,epoch=7+mut_distn=np.random.exponential,0.0034049389465246253,0.000160184200238,0.011823616342318257,0.0676865004308921
spatial structure,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.009089717202315377,1.5104714256620132e-05,0.036305109188152426,0.2090991845802824
spatial structure,3% resolution,epoch=0+mut_distn=np.random.exponential,0.011779384688528271,3.599942942627726e-06,0.040986324592772114,0.2016495832335358
spatial structure,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.008075174088203563,1.4647270666087063e-06,0.028259996567415586,0.1206353468721832
spatial structure,3% resolution,epoch=2+mut_distn=np.random.exponential,0.0020932433631599455,2.803145644646898e-07,0.014645102339583311,0.1035763179491396
spatial structure,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.004392168329778084,9.601082712804803e-07,0.02943516133204165,0.2081294698595517
spatial structure,3% resolution,epoch=7+mut_distn=np.random.exponential,0.0016222748888878016,1.133382278498734e-06,0.009586717334986332,0.0676827661245794
spatial structure,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.0045923599627543474,9.579147102978968e-07,0.029631864770849187,0.2090987178148252
spatial structure,33% resolution,epoch=0+mut_distn=np.random.exponential,0.04084658890058697,0.021613189548851948,0.0517317915274181,0.2069789738321817
spatial structure,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.051713982513564426,0.0396515444819978,0.05553134559562069,0.2260925405615661
spatial structure,33% resolution,epoch=2+mut_distn=np.random.exponential,0.024095559061708047,0.00112860449111645,0.056179840456606955,0.2207260615017543
spatial structure,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.05675981829773246,0.0039005132076076997,0.09266567285292716,0.3511810711358016
spatial structure,33% resolution,epoch=7+mut_distn=np.random.exponential,0.022227241458226427,0.002669836651019,0.04299032201882267,0.184787508543229
spatial structure,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.03144255835888627,0.00350604279502655,0.06152501823526255,0.2106161516388605
weak ecology,1% resolution,epoch=0+mut_distn=np.random.exponential,8.020101362637084e-05,9.125476328186587e-07,0.0003344759327889785,0.0018464961962527
weak ecology,1% resolution,epoch=0+mut_distn=np.random.standard_normal,2.0753328522865452e-05,6.195251839273457e-07,7.169572252673004e-05,0.0003815921287831
weak ecology,1% resolution,epoch=2+mut_distn=np.random.exponential,0.0001989363064166097,1.0957225099858233e-06,0.0011661131225235238,0.0082419246603396
weak ecology,1% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0006559772318944978,6.753565296377185e-07,0.0034085593637944896,0.023500174274655
weak ecology,1% resolution,epoch=7+mut_distn=np.random.exponential,0.0037643299427974584,1.1920546625879254e-06,0.02651755191992225,0.1875213399306212
weak ecology,1% resolution,epoch=7+mut_distn=np.random.standard_normal,1.1754970782954517e-05,3.8293798367280314e-07,4.781134277264396e-05,0.0002625131424115
weak ecology,10% resolution,epoch=0+mut_distn=np.random.exponential,0.019225602024340118,0.0019287881229111499,0.050879010546795875,0.225707562809719
weak ecology,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.011042958207872067,0.0024264540954197,0.035249514412064344,0.1971497340835191
weak ecology,10% resolution,epoch=2+mut_distn=np.random.exponential,0.024023117574127638,0.0030647779792059,0.051007046950729516,0.1903568565423892
weak ecology,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.010043711352081297,0.00209681683891155,0.03128904050591054,0.1896564610783011
weak ecology,10% resolution,epoch=7+mut_distn=np.random.exponential,0.018553262325703028,0.00251766677974845,0.04357265131855819,0.1895861622759395
weak ecology,10% resolution,epoch=7+mut_distn=np.random.standard_normal,0.018356969520277842,0.0024201221901205003,0.04346879091469176,0.1892841930353803
weak ecology,3% resolution,epoch=0+mut_distn=np.random.exponential,0.004270648839780704,2.131936875845513e-06,0.018669974043428624,0.0951053556076198
weak ecology,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.00023457109910924592,2.771490591568879e-05,0.0006811182815718804,0.0039397764101047
weak ecology,3% resolution,epoch=2+mut_distn=np.random.exponential,0.011596324532567584,1.0271729106599186e-05,0.0354718733619198,0.1756481301498431
weak ecology,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.008074151642684569,2.8457092038387632e-05,0.03121880901432989,0.1876081014189014
weak ecology,3% resolution,epoch=7+mut_distn=np.random.exponential,0.014135397190146583,4.797147237766506e-06,0.042325188047238296,0.1875317226003281
weak ecology,3% resolution,epoch=7+mut_distn=np.random.standard_normal,0.006120326512433292,2.6758157824416036e-05,0.028796154075430246,0.1828271976959976
weak ecology,33% resolution,epoch=0+mut_distn=np.random.exponential,0.03880535774079064,0.0098740122130194,0.07246269587753323,0.3883253930990344
weak ecology,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.06037184699445331,0.0111717290032766,0.08487399025440254,0.3832206777145672
weak ecology,33% resolution,epoch=2+mut_distn=np.random.exponential,0.04260721928245901,0.009866029866945299,0.06248659173609307,0.205551848634104
weak ecology,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.03395171744198764,0.008672945188737,0.05551406726662467,0.202663460905079
weak ecology,33% resolution,epoch=7+mut_distn=np.random.exponential,0.04095417592754154,0.0100088691403152,0.05820795275835771,0.2208078185795092
weak ecology,33% resolution,epoch=7+mut_distn=np.random.standard_normal,0.04081320365496913,0.0087397802639951,0.06418200088775096,0.1972572867538581
