regime,quality,sensitivity_analysis_variables,quartet_distance,quartet_distance,quartet_distance,quartet_distance,quartet_distance,triplet_distance,triplet_distance,triplet_distance,triplet_distance,triplet_distance
,,,mean,std,max,min,kurt,mean,std,max,min,kurt
8 niche ecology,33% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1065758943480216e-14,1.4235052549639567e-16,-2.0829211098261323e-14,-2.1313406428566545e-14,0.0,-2.1065962422089917e-14,1.4235327653780798e-16,-2.082941002520791e-14,-2.1313614707282665e-14,0.0
neutral selection,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0012872797398842592,0.005833966211175952,0.0324124311322987,-2.1194085775107427e-14,23.26864920485258,0.004538169760613948,0.021741887818094354,0.1463194249935681,-2.1194291735650943e-14,38.88721308614957
neutral selection,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.0021088039450733254,0.010408493154377495,0.0718775509544621,-2.1285491990544692e-14,43.45340832780444,0.0010806719458141304,0.006055038359973206,0.04252560391767,-2.128569972949636e-14,47.448971096855715
neutral selection,1% resolution,epoch=2+mut_distn=np.random.exponential,5.5104837841123e-05,0.000349912865617407,0.0024678236394166,-2.1295427590805543e-14,48.952381614431104,1.6293167815244707e-05,0.00010439529812939717,0.000736703509228,-2.1295635527048142e-14,49.12105876291541
neutral selection,1% resolution,epoch=2+mut_distn=np.random.standard_normal,0.0001096551406996742,0.00076783321938633,0.0054303516764462,-2.1293554510939e-14,49.99535801421557,3.475847537661591e-05,0.0002438212889864565,0.0017243291734999,-2.129376240929832e-14,49.99690147345298
neutral selection,1% resolution,epoch=7+mut_distn=np.random.exponential,-2.1027434122487223e-14,1.3538158167815456e-16,-2.0830377162195693e-14,-2.1308707268784464e-14,0.0,-2.102763679475551e-14,1.3538412695915414e-16,-2.0830576109860583e-14,-2.130891545488344e-14,0.0
neutral selection,1% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1088466823890514e-14,1.5160243264320717e-16,-2.0837820916379552e-14,-2.1315309107995263e-14,0.0,-2.108867071759826e-14,1.5160537462320604e-16,-2.0838020014984927e-14,-2.131551742957024e-14,0.0
neutral selection,10% resolution,epoch=0+mut_distn=np.random.exponential,0.010103815829325801,0.015783618250216312,0.0854449998631196,-2.130287071293129e-14,9.960027763339944,0.01811379013327655,0.040606704948235366,0.2176202993218065,-2.1303078789355697e-14,13.091276990321393
neutral selection,10% resolution,epoch=0+mut_distn=np.random.standard_normal,0.00667780078125092,0.010795046670374214,0.0561975429217358,-2.1274055748526216e-14,9.311131576281698,0.011685971256452312,0.03565893358512853,0.1684132325681116,-2.1274263259819587e-14,13.196518120470913
neutral selection,10% resolution,epoch=2+mut_distn=np.random.exponential,0.0023659898128322748,0.008557843647690978,0.0511256652543401,-2.1305370353499067e-14,23.401219376910184,0.0010040938712448765,0.003980535941543573,0.0250843799589046,-2.1305578479483492e-14,28.998246345905283
neutral selection,10% resolution,epoch=2+mut_distn=np.random.standard_normal,0.003874845720307605,0.014631148670146442,0.0835567479514533,-2.1311219323899145e-14,21.44409677346768,0.002327681907766013,0.010300162159339885,0.0667558954552286,-2.1311426618351964e-14,33.185051147184154
neutral selection,10% resolution,epoch=7+mut_distn=np.random.exponential,-2.10550166520561e-14,1.3500069647168976e-16,-2.083184619930172e-14,-2.130519422707948e-14,0.0,-2.1055219873668978e-14,1.350033410346961e-16,-2.083204517922273e-14,-2.130540235618834e-14,0.0
neutral selection,10% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1071358733448167e-14,1.4388419464601976e-16,-2.0834745404452863e-14,-2.131464729978669e-14,0.0,-2.107156225589206e-14,1.4388703065892306e-16,-2.0834944434817582e-14,-2.131485560897812e-14,0.0
neutral selection,3% resolution,epoch=0+mut_distn=np.random.exponential,0.0024723166140019847,0.007031050816071139,0.0324728171053813,-2.1248597317808864e-14,12.634474456564709,0.009372109573734242,0.03702806521920825,0.2169523484713214,-2.1248804337396363e-14,23.93953347615243
neutral selection,3% resolution,epoch=0+mut_distn=np.random.standard_normal,0.0037047047628373884,0.011389591033735996,0.0719145228685311,-2.1205069701026074e-14,27.644083311794027,0.002030893870927511,0.006791865383017108,0.0425351748134227,-2.1205275868889665e-14,27.291675327278067
neutral selection,3% resolution,epoch=2+mut_distn=np.random.exponential,0.00013109981123237796,0.00057121292599977,0.0031296500525718,-2.13050306455294e-14,22.21517708069564,4.036184493584177e-05,0.0001784916065377862,0.0009654891701709,-2.1305238768856726e-14,22.16762043313931
neutral selection,3% resolution,epoch=2+mut_distn=np.random.standard_normal,0.00028056021916956944,0.0012721663337036083,0.0070620057347846,-2.131438931726023e-14,22.82691114229455,9.06343250215567e-05,0.00041759766906827053,0.0023790993797549,-2.1314597623357192e-14,23.884248148793024
neutral selection,3% resolution,epoch=7+mut_distn=np.random.exponential,-2.1086142496322875e-14,1.42129325397833e-16,-2.0834861804741682e-14,-2.1314790885118008e-14,0.0,-2.108634633208584e-14,1.4213207226621614e-16,-2.0835060842803443e-14,-2.131499919941308e-14,0.0
neutral selection,3% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1058091638172885e-14,1.592399221765469e-16,-2.0830907243112323e-14,-2.1311937921744277e-14,0.0,-2.1058294023164877e-14,1.5924267407229845e-16,-2.0831106205235232e-14,-2.131213092841953e-14,0.0
neutral selection,33% resolution,epoch=0+mut_distn=np.random.exponential,0.041296426959216766,0.04292347583124728,0.2167993340111315,-2.1263277148633085e-14,4.888607231082151,0.07919982150887311,0.08997483412525253,0.3565317889420058,-2.1263484449734502e-14,0.8174467657702147
neutral selection,33% resolution,epoch=0+mut_distn=np.random.standard_normal,0.035193177183635814,0.031906435501899214,0.143469037015094,-2.1180162411375576e-14,1.5592165793857102,0.07764284039190135,0.090840980626163,0.3364031839752375,-2.118036810291856e-14,0.5415384381944119
neutral selection,33% resolution,epoch=2+mut_distn=np.random.exponential,0.008378977298502434,0.017556360065127036,0.0679042625870484,-2.130449968641448e-14,2.9830012903812735,0.004150463696105216,0.009555488169003893,0.0464519709312216,-2.1304707792018882e-14,7.708102889733434
neutral selection,33% resolution,epoch=2+mut_distn=np.random.standard_normal,0.007817543097231741,0.02114157514150328,0.0945828572721674,-2.1313433047730136e-14,8.20373187434006,0.004449597086030975,0.013525382249218926,0.0702213961164324,-2.131364133379876e-14,13.13952697594787
neutral selection,33% resolution,epoch=7+mut_distn=np.random.exponential,-2.1089663379489357e-14,1.2881602590953788e-16,-2.0837010196646367e-14,-2.1315643397179724e-14,0.0,-2.1089867267005782e-14,1.2881851690843714e-16,-2.083720926942247e-14,-2.1315851728487743e-14,0.0
neutral selection,33% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1051300783060366e-14,1.3412332917045452e-16,-2.0835307418149908e-14,-2.1299943673522697e-14,0.0,-2.105150329990736e-14,1.3412568348329585e-16,-2.0835506464003432e-14,-2.130015169567452e-14,0.0
plain,1% resolution,epoch=0+mut_distn=np.random.exponential,-2.1086843636094465e-14,1.4551564352317048e-16,-2.0846368226116182e-14,-2.1315431089233008e-14,0.0,-2.1087047470611012e-14,1.455184517480424e-16,-2.0846567485085563e-14,-2.131563941659454e-14,0.0
plain,1% resolution,epoch=0+mut_distn=np.random.standard_normal,-2.1084588014445666e-14,1.495804365014686e-16,-2.0840957795502162e-14,-2.1314461237696063e-14,0.0,-2.1084791844230407e-14,1.495833536970674e-16,-2.0841156953833672e-14,-2.1314669544064828e-14,0.0
plain,1% resolution,epoch=2+mut_distn=np.random.exponential,-2.1052667557982168e-14,1.49983613659191e-16,-2.0839002298775592e-14,-2.1306670074341125e-14,0.0,-2.105287071673616e-14,1.499865321941899e-16,-2.0839201409729187e-14,-2.130687822693994e-14,0.0
plain,1% resolution,epoch=2+mut_distn=np.random.standard_normal,-2.1086600468242336e-14,1.301297713225034e-16,-2.0842852088635512e-14,-2.131388174198841e-14,0.0,-2.1086804302707783e-14,1.3013234974903187e-16,-2.0843051273163623e-14,-2.1314090038745842e-14,0.0
plain,1% resolution,epoch=7+mut_distn=np.random.exponential,-2.1049131722544273e-14,1.3119892959590838e-16,-2.0835389015236403e-14,-2.1306393612557052e-14,0.0,-2.1049334880682998e-14,1.3120146249504682e-16,-2.0835588067122166e-14,-2.1306601761613627e-14,0.0
plain,1% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1042589422195935e-14,1.5072260790494263e-16,-2.0829518238598796e-14,-2.1308684131604343e-14,0.0,-2.104279240086537e-14,1.507255157572359e-16,-2.08297171726894e-14,-2.1308892318123022e-14,0.0
plain,10% resolution,epoch=0+mut_distn=np.random.exponential,-2.108886163186993e-14,1.2871223794651693e-16,-2.086376261828081e-14,-2.1286477380906587e-14,0.0,-2.1089065491775285e-14,1.2871469174337838e-16,-2.086396220403901e-14,-2.1286685133785944e-14,0.0
plain,10% resolution,epoch=0+mut_distn=np.random.standard_normal,-2.107224433172577e-14,1.4755637919598994e-16,-2.08569778309006e-14,-2.1314596424656683e-14,0.0,-2.1072447871228466e-14,1.4755932516528135e-16,-2.085717546495769e-14,-2.1314804735615952e-14,0.0
plain,10% resolution,epoch=2+mut_distn=np.random.exponential,-2.1033171517165143e-14,1.4095362027396584e-16,-2.085011484105437e-14,-2.129726088778521e-14,0.0,-2.1033374351683328e-14,1.4095630934831289e-16,-2.085031417170984e-14,-2.1297468862821493e-14,0.0
plain,10% resolution,epoch=2+mut_distn=np.random.standard_normal,-2.105012072843138e-14,1.3736121393225402e-16,-2.0834822479851812e-14,-2.130732321100501e-14,0.0,-2.105032389073307e-14,1.3736384661334541e-16,-2.0835021517245572e-14,-2.1307531379154984e-14,0.0
plain,10% resolution,epoch=7+mut_distn=np.random.exponential,-2.106883223896624e-14,1.4641738740069013e-16,-2.0837450147128533e-14,-2.1315860157342515e-14,0.0,-2.1069035737490553e-14,1.4642026119455553e-16,-2.0837649236147743e-14,-2.131606849082297e-14,0.0
plain,10% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1046969284764394e-14,1.559630698677105e-16,-2.083146053256395e-14,-2.131426226611859e-14,0.0,-2.1047172318738034e-14,1.559660576463171e-16,-2.0831659507839235e-14,-2.1314470568162122e-14,0.0
plain,3% resolution,epoch=0+mut_distn=np.random.exponential,-2.1043579396205586e-14,1.3301531161742394e-16,-2.083319954938689e-14,-2.1297117154229063e-14,0.0,-2.1043782378836732e-14,1.3301787756635122e-16,-2.0833398555773635e-14,-2.129732512018789e-14,0.0
plain,3% resolution,epoch=0+mut_distn=np.random.standard_normal,-2.1056098921301497e-14,1.4318014587217087e-16,-2.0835322656798552e-14,-2.1313672233930247e-14,0.0,-2.105630216224856e-14,1.4318287532490076e-16,-2.0835521702748752e-14,-2.1313880525139007e-14,0.0
plain,3% resolution,epoch=2+mut_distn=np.random.exponential,-2.1075255152814953e-14,1.3597407009453085e-16,-2.0829726407583976e-14,-2.131092423678034e-14,0.0,-2.1075458761569323e-14,1.3597676299962694e-16,-2.082992535137125e-14,-2.1311132475996762e-14,0.0
plain,3% resolution,epoch=2+mut_distn=np.random.standard_normal,-2.1096051110532076e-14,1.3653726423473658e-16,-2.0832464143959485e-14,-2.1299851020929322e-14,0.0,-2.109625515175955e-14,1.3653994922761478e-16,-2.083266312824164e-14,-2.1300059044784782e-14,0.0
plain,3% resolution,epoch=7+mut_distn=np.random.exponential,-2.108080854121845e-14,1.4675580595722925e-16,-2.084569878778281e-14,-2.1313814800344468e-14,0.0,-2.10810122941097e-14,1.4675861016530008e-16,-2.0845898025722613e-14,-2.131402308832136e-14,0.0
plain,3% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.106204435546568e-14,1.5198696003813875e-16,-2.0846232297066126e-14,-2.130121719886957e-14,0.0,-2.1062247704714192e-14,1.5198989131594498e-16,-2.0846431546316904e-14,-2.130142524067037e-14,0.0
plain,33% resolution,epoch=0+mut_distn=np.random.exponential,-2.1063016562402565e-14,1.4512672016223373e-16,-2.083038727513557e-14,-2.13009413297182e-14,0.0,-2.1063219936343467e-14,1.451295923048085e-16,-2.0830586231630252e-14,-2.1301149372170536e-14,0.0
plain,33% resolution,epoch=0+mut_distn=np.random.standard_normal,-2.106072110557081e-14,1.433765724756729e-16,-2.0828048054874776e-14,-2.130893327743892e-14,0.0,-2.1060924491280586e-14,1.433793422732305e-16,-2.0828246963910312e-14,-2.1309141474289467e-14,0.0
plain,33% resolution,epoch=2+mut_distn=np.random.exponential,-2.1044926104452606e-14,1.3629020237498084e-16,-2.08393297242863e-14,-2.1308885440645242e-14,0.0,-2.10451291843237e-14,1.362928344796629e-16,-2.083952884725032e-14,-2.1309093637520028e-14,0.0
plain,33% resolution,epoch=2+mut_distn=np.random.standard_normal,-2.1017732285913635e-14,1.4408251017781648e-16,-2.0831287003212604e-14,-2.1294792398118767e-14,0.0,-2.1017934813789593e-14,1.440853006404876e-16,-2.0831485972728882e-14,-2.129500031867745e-14,0.0
plain,33% resolution,epoch=7+mut_distn=np.random.exponential,-2.1077547374704285e-14,1.2902849258161109e-16,-2.0828559191731755e-14,-2.1301214244654772e-14,0.0,-2.107775095016351e-14,1.2903088908971233e-16,-2.082875811344561e-14,-2.1301420298752667e-14,0.0
plain,33% resolution,epoch=7+mut_distn=np.random.standard_normal,-2.1063793722954564e-14,1.439701347027596e-16,-2.0829942802022436e-14,-2.130120228411665e-14,0.0,-2.106399712922283e-14,1.4397294359265e-16,-2.08301417485826e-14,-2.130141033314748e-14,0.0
spatial structure,1% resolution,epoch=0+mut_distn=np.random.exponential,0.0007560699220194493,0.004844847043058381,0.0342537435263869,2.137024128726362e-09,49.523968492497275,0.0007294101645367975,0.00501154851087858,0.0354515791571671,5.344907572240724e-10,49.96272667529912
spatial structure,1% resolution,epoch=0+mut_distn=np.random.standard_normal,0.008522860012911096,0.023263352836790586,0.0961621892111657,2.336044814210694e-09,5.628237103279192,0.008537335947148476,0.023833031549531754,0.0991001457745489,5.842901513240817e-10,6.474049320129032
spatial structure,1% resolution,epoch=2+mut_distn=np.random.exponential,1.318256507398876e-06,5.664700375757487e-06,3.4805040507857834e-05,-2.0866932345672683e-14,0.0,3.401733538935407e-07,1.4658780043828446e-06,9.022868087560922e-06,-2.0867131998210875e-14,0.0
spatial structure,1% resolution,epoch=2+mut_distn=np.random.standard_normal,1.399808956272796e-06,5.520826793121534e-06,3.058003329153782e-05,1.8153406280625662e-09,0.0,0.0012825120597501683,0.00906611874648118,0.0641075089176104,4.5399310648707106e-10,49.999997361718044
