id,ancestor_list,ancestor_listr_,taxon_label,trait,origin_time,island,niche,ancestor_id,identification
264077,[264025],[264025],31391,298252.1,262121,0,0,264025,264077
264081,[264018],[264018],30654,298252.0,262121,0,0,264018,264081
264103,[263378],[263378],30827,298248.6,262121,0,0,263378,264103
264137,[264008],[264008],17431,298249.62,262121,0,0,264008,264137
264194,[263797],[263797],24776,298248.66,262121,0,0,263797,264194
264218,[264059],[264059],27073,298251.75,262122,0,0,264059,264218
264222,[264062],[264062],27790,298252.16,262122,0,0,264062,264222
264230,[263980],[263980],30976,298249.94,262122,0,0,263980,264230
264271,[264077],[264077],31391,298253.28,262122,0,0,264077,264271
264287,[264194],[264194],24776,298249.56,262122,0,0,264194,264287
264289,[263451],[263451],26628,298248.97,262122,0,0,263451,264289
264306,[264103],[264103],30827,298249.88,262122,0,0,264103,264306
264345,[264081],[264081],18467,298252.72,262122,0,0,264081,264345
264346,[262365],[262365],8151,298245.8,262122,0,0,262365,264346
264360,[264075],[264075],2437,298249.12,262122,0,0,264075,264360
264438,[264360],[264360],2437,298250.8,262123,0,0,264360,264438
264459,[264222],[264222],27790,298251.88,262123,0,0,264222,264459
264462,[264081],[264081],30654,298252.62,262123,0,0,264081,264462
264564,[264306],[264306],30827,298250.16,262123,0,0,264306,264564
264648,[264287],[264287],24776,298252.8,262124,0,0,264287,264648
264669,[264462],[264462],30654,298253.44,262124,0,0,264462,264669
264676,[264438],[264438],2437,298251.78,262124,0,0,264438,264676
264716,[263799],[263799],10257,298249.94,262124,0,0,263799,264716
264737,[264462],[264462],27059,298253.44,262124,0,0,264462,264737
264762,[264271],[264271],31391,298253.94,262124,0,0,264271,264762
264769,[263931],[263931],23830,298251.16,262124,0,0,263931,264769
264805,[264218],[264218],10095,298254.2,262124,0,0,264218,264805
264847,[264230],[264230],29879,298253.7,262125,0,0,264230,264847
264908,[264008],[264008],23942,298251.62,262125,0,0,264008,264908
264918,[264762],[264762],31391,298254.25,262125,0,0,264762,264918
264926,[264459],[264459],27790,298255.1,262125,0,0,264459,264926
264951,[264805],[264805],7553,298255.44,262125,0,0,264805,264951
264966,[263567],[263567],30910,298251.94,262125,0,0,263567,264966
264984,[264805],[264805],10095,298255.44,262125,0,0,264805,264984
264994,[263648],[263648],13303,298251.1,262125,0,0,263648,264994
264999,[263994],[263994],27558,298250.12,262125,0,0,263994,264999
265075,[264218],[264218],27073,298254.75,262125,0,0,264218,265075
265099,[264648],[264648],24776,298255.25,262126,0,0,264648,265099
265126,[264062],[264062],23859,298252.78,262126,0,0,264062,265126
265127,[264040],[264040],18543,298253.5,262126,0,0,264040,265127
265138,[264230],[264230],30976,298253.6,262126,0,0,264230,265138
265152,[264908],[264908],23942,298253.38,262126,0,0,264908,265152
265268,[263812],[263812],23939,298253.97,262126,0,0,263812,265268
265274,[264676],[264676],2437,298253.44,262126,0,0,264676,265274
265292,[265075],[265075],27073,298256.06,262126,0,0,265075,265292
265310,[264762],[264762],28805,298255.16,262126,0,0,264762,265310
265340,[264345],[264345],18467,298254.3,262126,0,0,264345,265340
265357,[264564],[264564],30827,298252.66,262126,0,0,264564,265357
265374,[264289],[264289],26628,298253.28,262127,0,0,264289,265374
265377,[265310],[265310],28805,298255.88,262127,0,0,265310,265377
265387,[264669],[264669],30654,298254.06,262127,0,0,264669,265387
265439,[265340],[265340],18467,298255.88,262127,0,0,265340,265439
265450,[265268],[265268],23939,298256.03,262127,0,0,265268,265450
265524,[264966],[264966],30910,298255.6,262127,0,0,264966,265524
265525,[264994],[264994],13303,298255.2,262127,0,0,264994,265525
265589,[265099],[265099],16574,298256.28,262127,0,0,265099,265589
265654,[264056],[264056],23324,298255.34,262127,0,0,264056,265654
265669,[265152],[265152],23942,298254.97,262127,0,0,265152,265669
265673,[265292],[265292],7097,298255.66,262127,0,0,265292,265673
265678,[265292],[265292],27073,298255.66,262127,0,0,265292,265678
265738,[264847],[264847],29879,298257.2,262128,0,0,264847,265738
265747,[264769],[264769],23830,298253.16,262128,0,0,264769,265747
265762,[265450],[265450],23939,298255.56,262128,0,0,265450,265762
265767,[264918],[264918],31391,298258.12,262128,0,0,264918,265767
265801,[265589],[265589],5340,298256.9,262128,0,0,265589,265801
265807,[265589],[265589],16574,298256.9,262128,0,0,265589,265807
265821,[264737],[264737],27059,298255.78,262128,0,0,264737,265821
265829,[265524],[265524],30910,298256.75,262128,0,0,265524,265829
265841,[265439],[265439],18467,298257.56,262128,0,0,265439,265841
265845,[264926],[264926],27790,298258.9,262128,0,0,264926,265845
265871,[265099],[265099],24776,298255.97,262128,0,0,265099,265871
265923,[263509],[263509],30249,298253.88,262128,0,0,263509,265923
265975,[265292],[265292],23810,298256.25,262128,0,0,265292,265975
265991,[263896],[263896],33,298253.94,262128,0,0,263896,265991
266025,[265669],[265669],23942,298255.9,262128,0,0,265669,266025
266167,[265138],[265138],30976,298257.62,262129,0,0,265138,266167
266184,[264984],[264984],10095,298257.3,262129,0,0,264984,266184
266194,[265991],[265991],33,298256.06,262129,0,0,265991,266194
266218,[264951],[264951],7553,298257.2,262129,0,0,264951,266218
266227,[264023],[264023],28208,298254.06,262129,0,0,264023,266227
266268,[265767],[265767],28579,298260.8,262129,0,0,265767,266268
266274,[265274],[265274],2437,298256.3,262129,0,0,265274,266274
266285,[264137],[264137],17431,298257.3,262129,0,0,264137,266285
266286,[265841],[265841],18467,298257.78,262129,0,0,265841,266286
266298,[265767],[265767],31391,298260.8,262129,0,0,265767,266298
266314,[265377],[265377],28805,298257.12,262129,0,0,265377,266314
266340,[265829],[265829],24897,298258.03,262129,0,0,265829,266340
266371,[265126],[265126],23859,298254.84,262129,0,0,265126,266371
266401,[265975],[265975],23810,298258.75,262129,0,0,265975,266401
266419,[265738],[265738],29879,298257.94,262129,0,0,265738,266419
266423,[265801],[265801],5340,298257.88,262129,0,0,265801,266423
266513,[265387],[265387],30654,298256.9,262129,0,0,265387,266513
266525,[265340],[265340],13458,298260.0,262129,0,0,265340,266525
266534,[266419],[266419],29879,298259.3,262130,0,0,266419,266534
266543,[266419],[266419],18744,298259.3,262130,0,0,266419,266543
266564,[265845],[265845],27790,298258.72,262130,0,0,265845,266564
266595,[266268],[266268],25023,298261.97,262130,0,0,266268,266595
266630,[265268],[265268],22473,298256.97,262130,0,0,265268,266630
266634,[264062],[264062],14752,298257.1,262130,0,0,264062,266634
266640,[266525],[266525],13458,298260.47,262130,0,0,266525,266640
266694,[266340],[266340],24897,298258.72,262130,0,0,266340,266694
266717,[266371],[266371],23859,298256.6,262130,0,0,266371,266717
266804,[266298],[266298],19545,298260.8,262130,0,0,266298,266804
266830,[266167],[266167],30976,298259.88,262130,0,0,266167,266830
266835,[265829],[265829],30910,298258.62,262130,0,0,265829,266835
266844,[266184],[266184],10095,298258.9,262130,0,0,266184,266844
266879,[266423],[266423],5340,298259.7,262130,0,0,266423,266879
266886,[266298],[266298],31391,298260.8,262130,0,0,266298,266886
266915,[266268],[266268],28579,298261.97,262130,0,0,266268,266915
266950,[266268],[266268],26928,298261.97,262130,0,0,266268,266950
266958,[266401],[266401],14290,298258.66,262130,0,0,266401,266958
267002,[266298],[266298],14551,298260.8,262130,0,0,266298,267002
267003,[266286],[266286],18392,298258.03,262130,0,0,266286,267003
267005,[265747],[265747],23830,298256.94,262130,0,0,265747,267005
267035,[265807],[265807],16574,298257.6,262130,0,0,265807,267035
267079,[267003],[267003],18392,298259.84,262131,0,0,267003,267079
267111,[266298],[266298],25509,298261.56,262131,0,0,266298,267111
267118,[266314],[266314],28805,298259.28,262131,0,0,266314,267118
267177,[263128],[263128],19203,298256.34,262131,0,0,263128,267177
267228,[264716],[264716],10257,298258.03,262131,0,0,264716,267228
267252,[266915],[266915],28579,298262.6,262131,0,0,266915,267252
267280,[266958],[266958],14290,298260.44,262131,0,0,266958,267280
267291,[265127],[265127],18543,298257.6,262131,0,0,265127,267291
267313,[266543],[266543],18744,298259.03,262131,0,0,266543,267313
267335,[265374],[265374],26628,298259.3,262131,0,0,265374,267335
267364,[266285],[266285],17431,298258.28,262131,0,0,266285,267364
267402,[266564],[266564],27790,298260.6,262131,0,0,266564,267402
267420,[266717],[266717],23859,298259.25,262131,0,0,266717,267420
267458,[266694],[266694],24897,298260.2,262131,0,0,266694,267458
267461,[266634],[266634],14752,298257.5,262131,0,0,266634,267461
267463,[266958],[266958],10474,298260.44,262131,0,0,266958,267463
267490,[266640],[266640],13458,298260.38,262131,0,0,266640,267490
267493,[266830],[266830],30976,298259.9,262131,0,0,266830,267493
267511,[266844],[266844],10095,298259.6,262131,0,0,266844,267511
267542,[266950],[266950],26928,298261.4,262131,0,0,266950,267542
267544,[266950],[266950],8829,298261.4,262131,0,0,266950,267544
267608,[265654],[265654],23324,298258.1,262131,0,0,265654,267608
267622,[266167],[266167],24064,298261.47,262131,0,0,266167,267622
267692,[265654],[265654],4691,298260.03,262132,0,0,265654,267692
267695,[267608],[267608],23324,298258.28,262132,0,0,267608,267695
267706,[267005],[267005],23830,298260.0,262132,0,0,267005,267706
267716,[267118],[267118],28805,298258.94,262132,0,0,267118,267716
267731,[267402],[267402],20974,298262.97,262132,0,0,267402,267731
267735,[264847],[264847],25639,298257.3,262132,0,0,264847,267735
267745,[267364],[267364],17431,298258.62,262132,0,0,267364,267745
267777,[266886],[266886],31391,298261.4,262132,0,0,266886,267777
