id,ancestor_list,taxon_label,ancestor_listr_,origin_time,destruction_time,ancestor_id
0,[None],31620,[None],0.0,24576.5,0
112,[0],31620,[0],262035.5,262044.5,0
117,[112],31620,[112],262059.5,262066.5,112
125,[117],31620,[117],262073.5,262078.5,117
128,[125],31391,[125],262077.5,262082.5,125
129,[125],31620,[125],262077.5,262082.5,125
135,[128],31391,[128],262081.5,262086.5,128
148,[135],26275,[135],262085.5,262090.5,135
152,[129],26628,[129],262085.5,262090.5,129
161,[135],11312,[135],262089.5,262094.5,135
182,[148],26275,[148],262093.5,262098.5,148
188,[152],10257,[152],262093.5,262098.5,152
189,[152],19203,[152],262093.5,262098.5,152
199,[135],31391,[135],262097.5,262102.5,135
207,[129],31620,[129],262097.5,262102.5,129
208,[152],26628,[152],262097.5,262102.5,152
210,[188],10257,[188],262097.5,262102.5,188
224,[199],31391,[199],262101.5,262105.5,199
227,[161],11312,[161],262101.5,262105.5,161
235,[207],30910,[207],262101.5,262105.5,207
237,[207],30895,[207],262101.5,262105.5,207
262,[224],31391,[224],262104.5,262107.5,224
275,[235],30910,[235],262104.5,262107.5,235
309,[262],31391,[262],262106.5,262109.5,262
315,[227],11312,[227],262106.5,262109.5,227
380,[275],30910,[275],262108.5,262111.5,275
391,[207],31620,[207],262108.5,262111.5,207
449,[237],30895,[237],262110.5,262113.5,237
460,[210],10257,[210],262110.5,262113.5,210
464,[189],19203,[189],262110.5,262113.5,189
484,[309],31391,[309],262112.5,262115.5,309
514,[449],30895,[449],262112.5,262115.5,449
516,[391],30827,[391],262112.5,262115.5,391
521,[208],26628,[208],262112.5,262115.5,208
537,[129],27558,[129],262112.5,262115.5,129
553,[484],31391,[484],262114.5,262117.5,484
579,[235],21441,[235],262114.5,262117.5,235
585,[514],30895,[514],262114.5,262117.5,514
588,[516],30827,[516],262114.5,262117.5,516
594,[521],26628,[521],262114.5,262117.5,521
632,[553],31391,[553],262116.5,262119.5,553
655,[380],30910,[380],262116.5,262119.5,380
665,[207],30249,[207],262116.5,262119.5,207
681,[594],18543,[594],262116.5,262119.5,594
699,[537],27558,[537],262116.5,262119.5,537
719,[632],30976,[632],262118.5,262121.5,632
720,[632],31391,[632],262118.5,262121.5,632
721,[632],28208,[632],262118.5,262121.5,632
746,[182],26275,[182],262118.5,262121.5,182
757,[579],21441,[579],262118.5,262121.5,579
765,[449],23939,[449],262118.5,262121.5,449
766,[585],30895,[585],262118.5,262121.5,585
780,[594],33,[594],262118.5,262121.5,594
781,[681],18543,[681],262118.5,262121.5,681
787,[460],10257,[460],262118.5,262121.5,460
800,[699],27558,[699],262118.5,262121.5,699
823,[719],30976,[719],262120.5,262123.5,719
824,[719],2437,[719],262120.5,262123.5,719
827,[720],30654,[720],262120.5,262123.5,720
828,[720],31391,[720],262120.5,262123.5,720
829,[720],24776,[720],262120.5,262123.5,720
830,[720],23942,[720],262120.5,262123.5,720
832,[720],23324,[720],262120.5,262123.5,720
835,[721],28208,[721],262120.5,262123.5,721
881,[757],21441,[757],262120.5,262123.5,757
893,[766],30895,[766],262120.5,262123.5,766
904,[588],30827,[588],262120.5,262123.5,588
913,[781],18543,[781],262120.5,262123.5,781
937,[800],27558,[800],262120.5,262123.5,800
962,[823],30976,[823],262122.5,262125.0,823
964,[824],2437,[824],262122.5,262125.0,824
971,[827],27073,[827],262122.5,262125.0,827
972,[827],18467,[827],262122.5,262125.0,827
974,[827],30654,[827],262122.5,262125.0,827
975,[827],27790,[827],262122.5,262125.0,827
978,[828],31391,[828],262122.5,262125.0,828
983,[829],24776,[829],262122.5,262125.0,829
1080,[904],30827,[904],262122.5,262125.0,904
1087,[594],26628,[594],262122.5,262125.0,594
1099,[188],8151,[188],262122.5,262125.0,188
1148,[964],2437,[964],262124.0,262126.0,964
1161,[971],10095,[971],262124.0,262126.0,971
1169,[974],27059,[974],262124.0,262126.0,974
1170,[974],30654,[974],262124.0,262126.0,974
1177,[978],31391,[978],262124.0,262126.0,978
1186,[983],24776,[983],262124.0,262126.0,983
1283,[893],23830,[893],262124.0,262126.0,893
1325,[787],10257,[787],262124.0,262126.0,787
1372,[962],29879,[962],262125.0,262127.0,962
1391,[971],27073,[971],262125.0,262127.0,971
1392,[1161],10095,[1161],262125.0,262127.0,1161
1393,[1161],7553,[1161],262125.0,262127.0,1161
1408,[975],27790,[975],262125.0,262127.0,975
1414,[1177],31391,[1177],262125.0,262127.0,1177
1433,[830],23942,[830],262125.0,262127.0,830
1506,[655],30910,[655],262125.0,262127.0,655
1528,[665],13303,[665],262125.0,262127.0,665
1600,[937],27558,[937],262125.0,262127.0,937
1629,[962],30976,[962],262126.0,262128.0,962
1635,[1148],2437,[1148],262126.0,262128.0,1148
1651,[1391],27073,[1391],262126.0,262128.0,1391
1662,[972],18467,[972],262126.0,262128.0,972
1666,[827],23859,[827],262126.0,262128.0,827
1686,[1177],28805,[1177],262126.0,262128.0,1177
1700,[1186],24776,[1186],262126.0,262128.0,1186
1707,[1433],23942,[1433],262126.0,262128.0,1433
1818,[765],23939,[765],262126.0,262128.0,765
1838,[1080],30827,[1080],262126.0,262128.0,1080
1851,[913],18543,[913],262126.0,262128.0,913
1951,[1651],27073,[1651],262127.0,262129.0,1651
1953,[1651],7097,[1651],262127.0,262129.0,1651
1968,[1662],18467,[1662],262127.0,262129.0,1662
1976,[1170],30654,[1170],262127.0,262129.0,1170
1995,[1686],28805,[1686],262127.0,262129.0,1686
2015,[1700],16574,[1700],262127.0,262129.0,1700
2026,[1707],23942,[1707],262127.0,262129.0,1707
2038,[832],23324,[832],262127.0,262129.0,832
2113,[1506],30910,[1506],262127.0,262129.0,1506
2141,[1528],13303,[1528],262127.0,262129.0,1528
2145,[1818],23939,[1818],262127.0,262129.0,1818
2176,[1087],26628,[1087],262127.0,262129.0,1087
2258,[1372],29879,[1372],262128.0,262130.0,1372
2291,[1651],23810,[1651],262128.0,262130.0,1651
2310,[1968],18467,[1968],262128.0,262130.0,1968
2317,[1169],27059,[1169],262128.0,262130.0,1169
2328,[1408],27790,[1408],262128.0,262130.0,1408
2338,[1414],31391,[1414],262128.0,262130.0,1414
2366,[2015],5340,[2015],262128.0,262130.0,2015
2368,[2015],16574,[2015],262128.0,262130.0,2015
2369,[1700],24776,[1700],262128.0,262130.0,1700
2382,[2026],23942,[2026],262128.0,262130.0,2026
2483,[2113],30910,[2113],262128.0,262130.0,2113
2515,[665],30249,[665],262128.0,262130.0,665
2518,[2145],23939,[2145],262128.0,262130.0,2145
2524,[1283],23830,[1283],262128.0,262130.0,1283
2554,[780],33,[780],262128.0,262130.0,780
2636,[1629],30976,[1629],262129.0,262131.0,1629
2638,[2258],29879,[2258],262129.0,262131.0,2258
2648,[1635],2437,[1635],262129.0,262131.0,1635
2679,[2291],23810,[2291],262129.0,262131.0,2291
2685,[1392],10095,[1392],262129.0,262131.0,1392
2687,[1393],7553,[1393],262129.0,262131.0,1393
2698,[1662],13458,[1662],262129.0,262131.0,1662
2699,[2310],18467,[2310],262129.0,262131.0,2310
2707,[1666],23859,[1666],262129.0,262131.0,1666
2712,[1976],30654,[1976],262129.0,262131.0,1976
2736,[2338],28579,[2338],262129.0,262131.0,2338
2737,[2338],31391,[2338],262129.0,262131.0,2338
2741,[1995],28805,[1995],262129.0,262131.0,1995
2775,[2366],5340,[2366],262129.0,262131.0,2366
2802,[830],17431,[830],262129.0,262131.0,830
2909,[2483],24897,[2483],262129.0,262131.0,2483
2985,[2554],33,[2554],262129.0,262131.0,2554
3080,[2636],30976,[2636],262130.0,262132.0,2636
3083,[2638],29879,[2638],262130.0,262132.0,2638
3084,[2638],18744,[2638],262130.0,262132.0,2638
3135,[2679],14290,[2679],262130.0,262132.0,2679
3145,[2685],10095,[2685],262130.0,262132.0,2685
3161,[2698],13458,[2698],262130.0,262132.0,2698
3164,[2699],18392,[2699],262130.0,262132.0,2699
3175,[2707],23859,[2707],262130.0,262132.0,2707
3197,[2328],27790,[2328],262130.0,262132.0,2328
3205,[827],14752,[827],262130.0,262132.0,827
3210,[2736],26928,[2736],262130.0,262132.0,2736
3211,[2736],28579,[2736],262130.0,262132.0,2736
3212,[2736],25023,[2736],262130.0,262132.0,2736
3215,[2737],31391,[2737],262130.0,262132.0,2737
3216,[2737],14551,[2737],262130.0,262132.0,2737
3217,[2737],19545,[2737],262130.0,262132.0,2737
3264,[2775],5340,[2775],262130.0,262132.0,2775
3271,[2368],16574,[2368],262130.0,262132.0,2368
3325,[835],28208,[835],262130.0,262132.0,835
3414,[2483],30910,[2483],262130.0,262132.0,2483
3415,[2909],24897,[2909],262130.0,262132.0,2909
3461,[1818],22473,[1818],262130.0,262132.0,1818
3466,[2524],23830,[2524],262130.0,262132.0,2524
3601,[2636],24064,[2636],262131.0,262133.0,2636
3602,[3080],30976,[3080],262131.0,262133.0,3080
3609,[3084],18744,[3084],262131.0,262133.0,3084
3667,[3135],14290,[3135],262131.0,262133.0,3135
3668,[3135],10474,[3135],262131.0,262133.0,3135
3681,[3145],10095,[3145],262131.0,262133.0,3145
3701,[3161],13458,[3161],262131.0,262133.0,3161
3706,[3164],18392,[3164],262131.0,262133.0,3164
3720,[3175],23859,[3175],262131.0,262133.0,3175
3750,[3197],27790,[3197],262131.0,262133.0,3197
3762,[3205],14752,[3205],262131.0,262133.0,3205
3768,[3210],8829,[3210],262131.0,262133.0,3210
3769,[3210],26928,[3210],262131.0,262133.0,3210
3771,[3211],28579,[3211],262131.0,262133.0,3211
3776,[2737],25509,[2737],262131.0,262133.0,2737
3794,[2741],28805,[2741],262131.0,262133.0,2741
3879,[2802],17431,[2802],262131.0,262133.0,2802
3898,[2038],23324,[2038],262131.0,262133.0,2038
4010,[3415],24897,[3415],262131.0,262133.0,3415
4107,[2176],26628,[2176],262131.0,262133.0,2176
4115,[1851],18543,[1851],262131.0,262133.0,1851
4140,[1325],10257,[1325],262131.0,262133.0,1325
4154,[464],19203,[464],262131.0,262133.0,464
4226,[3601],18756,[3601],262132.0,262134.0,3601
4227,[3601],24064,[3601],262132.0,262134.0,3601
4241,[3609],18744,[3609],262132.0,262134.0,3609
4249,[1372],25639,[1372],262132.0,262134.0,1372
4307,[3667],14290,[3667],262132.0,262134.0,3667
4309,[3668],10474,[3668],262132.0,262134.0,3668
4324,[3681],10095,[3681],262132.0,262134.0,3681
4376,[2317],27059,[2317],262132.0,262134.0,2317
4383,[2712],30654,[2712],262132.0,262134.0,2712
4410,[3750],20974,[3750],262132.0,262134.0,3750
4411,[3750],7169,[3750],262132.0,262134.0,3750
4439,[3768],8829,[3768],262132.0,262134.0,3768
4441,[3769],26928,[3769],262132.0,262134.0,3769
4444,[3771],28579,[3771],262132.0,262134.0,3771
4460,[3215],31391,[3215],262132.0,262134.0,3215
4469,[3216],14551,[3216],262132.0,262134.0,3216
4478,[3794],28805,[3794],262132.0,262134.0,3794
4539,[3271],16574,[3271],262132.0,262134.0,3271
4566,[2382],23942,[2382],262132.0,262134.0,2382
4573,[3879],17431,[3879],262132.0,262134.0,3879
4594,[3898],23324,[3898],262132.0,262134.0,3898
4597,[2038],4691,[2038],262132.0,262134.0,2038
4703,[746],26275,[746],262132.0,262134.0,746
4718,[4010],24897,[4010],262132.0,262134.0,4010
4768,[2141],13303,[2141],262132.0,262134.0,2141
4782,[2518],23939,[2518],262132.0,262134.0,2518
4790,[3466],23830,[3466],262132.0,262134.0,3466
4826,[4107],26628,[4107],262132.0,262134.0,4107
4835,[4115],18543,[4115],262132.0,262134.0,4115
4862,[4140],10257,[4140],262132.0,262134.0,4140
4962,[4227],24064,[4227],262133.0,262135.0,4227
5066,[4307],14290,[4307],262133.0,262135.0,4307
5070,[4309],10474,[4309],262133.0,262135.0,4309
5086,[4324],10095,[4324],262133.0,262135.0,4324
5095,[2687],7553,[2687],262133.0,262135.0,2687
5126,[2699],18467,[2699],262133.0,262135.0,2699
5142,[3720],23859,[3720],262133.0,262135.0,3720
5147,[4376],27059,[4376],262133.0,262135.0,4376
5187,[4410],20974,[4410],262133.0,262135.0,4410
5188,[4410],17283,[4410],262133.0,262135.0,4410
5193,[4411],7169,[4411],262133.0,262135.0,4411
5195,[3750],27790,[3750],262133.0,262135.0,3750
5225,[4439],8829,[4439],262133.0,262135.0,4439
5232,[4444],28579,[4444],262133.0,262135.0,4444
5246,[3212],25023,[3212],262133.0,262135.0,3212
5248,[3776],25509,[3776],262133.0,262135.0,3776
5252,[3776],2319,[3776],262133.0,262135.0,3776
5255,[4460],31391,[4460],262133.0,262135.0,4460
5269,[3217],19545,[3217],262133.0,262135.0,3217
5339,[3264],5340,[3264],262133.0,262135.0,3264
5389,[4573],17431,[4573],262133.0,262135.0,4573
5435,[3325],28208,[3325],262133.0,262135.0,3325
5547,[4718],24897,[4718],262133.0,262135.0,4718
5680,[2985],33,[2985],262133.0,262135.0,2985
5684,[4835],18543,[4835],262133.0,262135.0,4835
5834,[4226],18756,[4226],262134.0,262136.0,4226
5835,[4962],24064,[4962],262134.0,262136.0,4962
5847,[3602],30976,[3602],262134.0,262136.0,3602
5858,[3083],29879,[3083],262134.0,262136.0,3083
5863,[4241],18744,[4241],262134.0,262136.0,4241
5902,[964],792,[964],262134.0,262136.0,964
5968,[5070],10474,[5070],262134.0,262136.0,5070
5988,[5086],10095,[5086],262134.0,262136.0,5086
6022,[3701],13458,[3701],262134.0,262136.0,3701
6033,[3706],18392,[3706],262134.0,262136.0,3706
6072,[4383],30654,[4383],262134.0,262136.0,4383
6107,[5188],17283,[5188],262134.0,262136.0,5188
6117,[5193],7169,[5193],262134.0,262136.0,5193
6122,[5195],16756,[5195],262134.0,262136.0,5195
6123,[5195],27790,[5195],262134.0,262136.0,5195
6143,[3762],14752,[3762],262134.0,262136.0,3762
6162,[4441],26459,[4441],262134.0,262136.0,4441
6168,[5232],15708,[5232],262134.0,262136.0,5232
6190,[5246],25023,[5246],262134.0,262136.0,5246
6194,[5248],25509,[5248],262134.0,262136.0,5248
6200,[5252],2319,[5252],262134.0,262136.0,5252
6222,[4469],14551,[4469],262134.0,262136.0,4469
6309,[5339],5340,[5339],262134.0,262136.0,5339
6364,[5389],17431,[5389],262134.0,262136.0,5389
6392,[4594],23324,[4594],262134.0,262136.0,4594
6514,[4703],26275,[4703],262134.0,262136.0,4703
6535,[5547],24897,[5547],262134.0,262136.0,5547
6551,[1506],14856,[1506],262134.0,262136.0,1506
6592,[881],21441,[881],262134.0,262136.0,881
6637,[4790],23830,[4790],262134.0,262136.0,4790
6665,[1838],30827,[1838],262134.0,262136.0,1838
