id,ancestor_list,taxon_label,ancestor_listr_,origin_time,destruction_time,ancestor_id
0,[None],31620,[None],0.0,12288.5,0
339,[0],31620,[0],262038.5,262041.5,0
362,[339],31620,[339],262062.5,262065.5,339
376,[362],31620,[362],262072.5,262075.5,362
380,[376],31620,[376],262074.5,262077.5,376
386,[380],31620,[380],262076.5,262079.5,380
392,[376],31391,[376],262078.5,262081.5,376
402,[392],31391,[392],262080.5,262083.5,392
415,[402],26275,[402],262082.5,262085.0,402
428,[415],26275,[415],262084.0,262086.0,415
447,[386],26628,[386],262085.0,262087.0,386
463,[447],19203,[447],262086.0,262088.0,447
492,[402],11312,[402],262088.0,262090.0,402
579,[463],10257,[463],262092.0,262094.0,463
615,[428],26275,[428],262094.0,262096.0,428
622,[579],10257,[579],262094.0,262096.0,579
623,[463],19203,[463],262094.0,262096.0,463
659,[402],31391,[402],262096.0,262098.0,402
667,[386],31620,[386],262096.0,262098.0,386
668,[447],26628,[447],262096.0,262098.0,447
670,[622],10257,[622],262096.0,262098.0,622
694,[667],31620,[667],262097.0,262099.0,667
724,[694],31620,[694],262098.0,262100.0,694
725,[694],30895,[694],262098.0,262100.0,694
731,[670],10257,[670],262098.0,262100.0,670
822,[659],31391,[659],262101.0,262103.0,659
833,[724],30910,[724],262101.0,262103.0,724
872,[833],30910,[833],262102.0,262104.0,833
878,[725],30895,[725],262102.0,262104.0,725
908,[492],11312,[492],262103.0,262105.0,492
950,[822],31391,[822],262104.0,262106.0,822
963,[872],30910,[872],262104.0,262106.0,872
1012,[963],30910,[963],262105.0,262107.0,963
1049,[950],31391,[950],262106.0,262108.0,950
1109,[908],11312,[908],262107.0,262109.0,908
1175,[1012],30910,[1012],262108.0,262110.0,1012
1183,[724],31620,[724],262108.0,262110.0,724
1309,[878],30895,[878],262110.0,262112.0,878
1322,[623],19203,[623],262110.0,262112.0,623
1382,[731],10257,[731],262111.0,262113.0,731
1407,[1049],31391,[1049],262112.0,262114.0,1049
1439,[1309],30895,[1309],262112.0,262114.0,1309
1460,[386],27558,[386],262112.0,262114.0,386
1506,[1183],30827,[1183],262113.0,262115.0,1183
1516,[668],26628,[668],262113.0,262115.0,668
1550,[1407],31391,[1407],262114.0,262116.0,1407
1578,[833],21441,[833],262114.0,262116.0,833
1580,[1506],30827,[1506],262114.0,262116.0,1506
1585,[1439],30895,[1439],262114.0,262116.0,1439
1674,[1516],26628,[1516],262115.0,262117.0,1516
1712,[1550],31391,[1550],262116.0,262118.0,1550
1734,[1175],30910,[1175],262116.0,262118.0,1175
1748,[725],30249,[725],262116.0,262118.0,725
1798,[1712],30976,[1712],262117.0,262119.0,1712
1840,[1748],13303,[1748],262117.0,262119.0,1748
1854,[1674],18543,[1674],262117.0,262119.0,1674
1872,[1460],27558,[1460],262117.0,262119.0,1460
1893,[1798],30976,[1798],262118.0,262120.0,1798
1894,[1798],28208,[1798],262118.0,262120.0,1798
1895,[1712],31391,[1712],262118.0,262120.0,1712
1920,[615],26275,[615],262118.0,262120.0,615
1944,[1585],30895,[1585],262118.0,262120.0,1585
1955,[1854],18543,[1854],262118.0,262120.0,1854
1997,[1893],30976,[1893],262119.0,262121.0,1893
2002,[1895],30654,[1895],262119.0,262121.0,1895
2004,[1895],24776,[1895],262119.0,262121.0,1895
2045,[1578],21441,[1578],262119.0,262121.0,1578
2055,[1309],23939,[1309],262119.0,262121.0,1309
2070,[1674],33,[1674],262119.0,262121.0,1674
2078,[1382],10257,[1382],262119.0,262121.0,1382
2091,[1872],27558,[1872],262119.0,262121.0,1872
2114,[1997],30976,[1997],262120.0,262122.0,1997
2119,[1894],28208,[1894],262120.0,262122.0,1894
2122,[2002],30654,[2002],262120.0,262122.0,2002
2123,[2002],23942,[2002],262120.0,262122.0,2002
2125,[1895],31391,[1895],262120.0,262122.0,1895
2174,[2045],21441,[2045],262120.0,262122.0,2045
2188,[1944],30895,[1944],262120.0,262122.0,1944
2204,[1955],18543,[1955],262120.0,262122.0,1955
2228,[2091],27558,[2091],262120.0,262122.0,2091
2254,[1997],2437,[1997],262121.0,262123.0,1997
2262,[2122],30654,[2122],262121.0,262123.0,2122
2263,[2122],27073,[2122],262121.0,262123.0,2122
2264,[2122],27790,[2122],262121.0,262123.0,2122
2265,[2123],23942,[2123],262121.0,262123.0,2123
2266,[2123],17431,[2123],262121.0,262123.0,2123
2268,[2125],31391,[2125],262121.0,262123.0,2125
2270,[2004],24776,[2004],262121.0,262123.0,2004
2271,[2004],23324,[2004],262121.0,262123.0,2004
2333,[1580],30827,[1580],262121.0,262123.0,1580
2409,[2114],30976,[2114],262122.0,262124.0,2114
2411,[2254],2437,[2254],262122.0,262124.0,2254
2424,[2262],18467,[2262],262122.0,262124.0,2262
2426,[2263],27073,[2263],262122.0,262124.0,2263
2429,[2264],27790,[2264],262122.0,262124.0,2264
2437,[2268],31391,[2268],262122.0,262124.0,2268
2442,[2270],24776,[2270],262122.0,262124.0,2270
2510,[2333],30827,[2333],262122.0,262124.0,2333
2535,[1674],26628,[1674],262122.0,262124.0,1674
2547,[579],8151,[579],262122.0,262124.0,579
2596,[2411],2437,[2411],262123.0,262125.0,2411
2616,[2262],30654,[2262],262123.0,262125.0,2262
2622,[2429],27790,[2429],262123.0,262125.0,2429
2708,[2510],30827,[2510],262123.0,262125.0,2510
2805,[2596],2437,[2596],262124.0,262126.0,2596
2829,[2616],27059,[2616],262124.0,262126.0,2616
2830,[2616],30654,[2616],262124.0,262126.0,2616
2836,[2426],10095,[2426],262124.0,262126.0,2426
2851,[2437],31391,[2437],262124.0,262126.0,2437
2860,[2442],24776,[2442],262124.0,262126.0,2442
2947,[2188],23830,[2188],262124.0,262126.0,2188
2982,[2078],10257,[2078],262124.0,262126.0,2078
3029,[2409],29879,[2409],262125.0,262127.0,2409
