id,ancestor_list,loc,trait,origin_time,island,niche,ancestor_id
0,[none],0,,0,0,0,0
260802,[0],3132,294086.16,260802,0,0,0
262855,[260802],3036,295238.97,261829,0,0,260802
262997,[260802],19762,295289.56,261876,0,2,260802
263126,[262855],6889,295329.16,261909,0,0,262855
263316,[262855],12772,295367.97,261947,0,1,262855
263388,[263316],15220,295378.53,261959,0,1,263316
263650,[263126],25495,295420.22,261996,0,3,263126
263655,[262997],20373,295426.8,261997,0,2,262997
263681,[263655],18860,295429.16,262000,0,2,263655
264116,[263126],4895,295483.75,262044,0,0,263126
264117,[263316],9238,295470.25,262044,0,1,263316
264167,[263388],13753,295473.97,262048,0,1,263388
264185,[263650],27335,295478.94,262049,0,3,263650
264201,[264116],407,295488.6,262051,0,0,264116
264260,[264201],795,295494.16,262055,0,0,264201
264279,[264167],10392,295481.66,262056,0,1,264167
264409,[263650],32016,295496.62,262063,0,3,263650
264445,[264409],31972,295499.84,262065,0,3,264409
264500,[264445],28608,295500.38,262068,0,3,264445
264532,[264279],14918,295497.5,262070,0,1,264279
264559,[264500],25127,295504.7,262071,0,3,264500
264591,[264532],10522,295500.53,262073,0,1,264532
264608,[264260],1886,295514.25,262074,0,0,264260
264657,[264608],4614,295517.3,262076,0,0,264608
264681,[264657],1213,295517.6,262077,0,0,264657
264686,[264532],10299,295506.7,262077,0,1,264532
264715,[264686],10697,295508.03,262078,0,1,264686
264796,[264681],4532,295522.72,262081,0,0,264681
264874,[264559],25544,295519.7,262083,0,3,264559
264943,[264201],1007,295528.2,262086,0,0,264201
264945,[264796],2537,295529.75,262086,0,0,264796
264996,[263681],22889,295526.06,262087,0,2,263681
265014,[264796],6963,295530.4,262088,0,0,264796
265051,[264943],7384,295531.38,262089,0,0,264943
265052,[264686],9056,295517.5,262089,0,1,264686
265120,[265014],6313,295531.72,262091,0,0,265014
265135,[264715],16120,295521.12,262091,0,1,264715
265200,[264608],7513,295536.3,262093,0,0,264608
265223,[264409],25893,295529.12,262093,0,3,264409
265245,[264167],11285,295524.7,262094,0,1,264167
265250,[264117],14283,295526.03,262094,0,1,264117
265300,[262997],23539,295534.28,262095,0,2,262997
265453,[264945],5516,295541.75,262099,0,0,264945
265480,[265223],27945,295536.34,262099,0,3,265223
265502,[264943],7853,295542.72,262100,0,0,264943
265507,[265052],9868,295533.72,262100,0,1,265052
265517,[265300],18360,295540.25,262100,0,2,265300
265527,[264445],26813,295535.62,262100,0,3,264445
265530,[264500],29226,295536.03,262100,0,3,264500
265594,[264945],2964,295542.12,262102,0,0,264945
265601,[265453],7468,295546.88,262102,0,0,265453
265658,[265250],9476,295537.0,262103,0,1,265250
265660,[265507],9930,295535.2,262103,0,1,265507
265735,[265223],25775,295542.6,262104,0,3,265223
265754,[264116],2541,295547.66,262105,0,0,264116
265756,[265453],3059,295547.88,262105,0,0,265453
265771,[265658],10801,295538.88,262105,0,1,265658
265791,[265735],26760,295541.97,262105,0,3,265735
265801,[265530],31054,295542.78,262105,0,3,265530
265807,[265051],603,295547.94,262106,0,0,265051
265853,[265791],25140,295543.1,262106,0,3,265791
265856,[265735],25273,295542.5,262106,0,3,265735
265884,[265594],6101,295549.94,262107,0,0,265594
265890,[265771],8317,295541.34,262107,0,1,265771
265909,[265300],17413,295546.4,262107,0,2,265300
265910,[265517],18351,295549.22,262107,0,2,265517
265933,[265856],32614,295544.28,262107,0,3,265856
265955,[265594],7492,295551.38,262108,0,0,265594
265960,[265658],9339,295540.5,262108,0,1,265658
265974,[265890],13758,295542.03,262108,0,1,265890
265978,[265910],16981,295551.88,262108,0,2,265910
265980,[265910],18355,295551.88,262108,0,2,265910
265985,[265909],22991,295547.78,262108,0,2,265909
266019,[265200],2956,295552.34,262109,0,0,265200
266023,[265014],4537,295550.44,262109,0,0,265014
266024,[264657],5218,295552.7,262109,0,0,264657
266070,[265853],24675,295548.78,262109,0,3,265853
266084,[265801],30677,295547.0,262109,0,3,265801
266123,[264591],10305,295541.7,262110,0,1,264591
266144,[265910],19619,295553.44,262110,0,2,265910
266150,[265980],24031,295552.72,262110,0,2,265980
266181,[265200],2554,295554.5,262111,0,0,265200
266215,[265890],13003,295543.5,262111,0,1,265890
266223,[264117],16070,295540.66,262111,0,1,264117
266231,[266144],20324,295554.9,262111,0,2,266144
266235,[265978],22335,295553.16,262111,0,2,265978
266239,[265910],23975,295552.47,262111,0,2,265910
266258,[266070],31954,295551.72,262111,0,3,266070
266270,[266024],1916,295555.12,262112,0,0,266024
266280,[266181],5111,295554.78,262112,0,0,266181
266296,[265507],11243,295543.3,262112,0,1,265507
266298,[265245],11403,295542.44,262112,0,1,265245
266301,[265960],12031,295542.3,262112,0,1,265960
266307,[265974],13661,295545.3,262112,0,1,265974
266319,[266150],18525,295555.2,262112,0,2,266150
266329,[266231],21970,295554.84,262112,0,2,266231
266334,[266144],23019,295556.12,262112,0,2,266144
266351,[266084],28891,295550.25,262112,0,3,266084
266376,[265807],5683,295555.97,262113,0,0,265807
266378,[266270],6181,295555.4,262113,0,0,266270
266384,[265884],7173,295553.5,262113,0,0,265884
266402,[265974],11628,295544.25,262113,0,1,265974
266421,[266319],17290,295556.06,262113,0,2,266319
266431,[266334],19362,295556.9,262113,0,2,266334
266463,[266258],32115,295552.62,262113,0,3,266258
266473,[266181],1687,295555.47,262114,0,0,266181
266484,[265601],4486,295557.8,262114,0,0,265601
266491,[266376],6482,295558.53,262114,0,0,266376
266506,[266307],10821,295548.5,262114,0,1,266307
266520,[266301],13632,295547.4,262114,0,1,266301
266542,[266421],20048,295557.6,262114,0,2,266421
266543,[266329],20474,295556.28,262114,0,2,266329
266556,[266431],23533,295558.47,262114,0,2,266431
266565,[266070],27672,295555.16,262114,0,3,266070
266578,[266258],32212,295556.47,262114,0,3,266258
266589,[265754],1756,295559.62,262115,0,0,265754
266616,[266484],7438,295561.53,262115,0,0,266484
266630,[266298],11717,295547.66,262115,0,1,266298
266641,[265890],13834,295547.78,262115,0,1,265890
266649,[266520],15972,295547.84,262115,0,1,266520
266658,[266144],17414,295560.06,262115,0,2,266144
266667,[266329],19648,295557.56,262115,0,2,266329
266671,[266543],20644,295557.56,262115,0,2,266543
266675,[266556],23562,295558.53,262115,0,2,266556
266705,[266578],31036,295555.56,262115,0,3,266578
266724,[266484],1752,295562.25,262116,0,0,266484
266768,[266123],12061,295549.3,262116,0,1,266123
266787,[266421],17067,295558.4,262116,0,2,266421
266788,[266658],17233,295560.8,262116,0,2,266658
266794,[266150],19159,295558.53,262116,0,2,266150
266802,[266431],21085,295559.44,262116,0,2,266431
266854,[266491],1586,295560.97,262117,0,0,266491
266863,[266384],3440,295559.03,262117,0,0,266384
266878,[266280],6751,295558.53,262117,0,0,266280
266916,[266506],13110,295549.06,262117,0,1,266506
266931,[266794],18494,295559.7,262117,0,2,266794
266936,[266671],19416,295558.12,262117,0,2,266671
266937,[266794],19460,295559.7,262117,0,2,266794
266974,[265480],27069,295558.03,262117,0,3,265480
266979,[266565],27884,295559.66,262117,0,3,266565
266985,[264185],28702,295556.72,262117,0,3,264185
266993,[266578],32116,295555.75,262117,0,3,266578
267034,[266616],7928,295564.88,262118,0,0,266616
267044,[266223],9359,295550.9,262118,0,1,266223
267065,[264591],13590,295549.97,262118,0,1,264591
267070,[266641],14974,295551.84,262118,0,1,266641
267072,[265771],15275,295550.22,262118,0,1,265771
267086,[266542],18200,295562.1,262118,0,2,266542
267092,[266556],19742,295562.28,262118,0,2,266556
267112,[266319],23526,295560.84,262118,0,2,266319
267142,[266985],29996,295559.94,262118,0,3,266985
267148,[266979],31346,295560.03,262118,0,3,266979
267151,[265051],277,295561.12,262119,0,0,265051
267163,[265756],2428,295564.2,262119,0,0,265756
267177,[264681],5221,295561.53,262119,0,0,264681
267189,[266878],7464,295561.56,262119,0,0,266878
267195,[266296],8306,295550.56,262119,0,1,266296
267210,[266649],11597,295552.25,262119,0,1,266649
267218,[266630],13271,295552.7,262119,0,1,266630
267223,[266123],14151,295551.16,262119,0,1,266123
267239,[267112],16469,295562.28,262119,0,2,267112
267245,[266802],17632,295560.78,262119,0,2,266802
267252,[267086],18585,295561.8,262119,0,2,267086
267293,[266974],26931,295561.56,262119,0,3,266974
267303,[266985],28281,295560.78,262119,0,3,266985
267311,[266351],29986,295557.34,262119,0,3,266351
267327,[266616],2150,295563.5,262120,0,0,266616
267341,[266280],4371,295563.7,262120,0,0,266280
267372,[267218],8784,295553.06,262120,0,1,267218
267385,[266768],10956,295552.3,262120,0,1,266768
267393,[267072],13064,295555.16,262120,0,1,267072
267407,[266768],15020,295552.3,262120,0,1,266768
267424,[267252],17548,295561.25,262120,0,2,267252
267429,[267086],18003,295563.62,262120,0,2,267086
267452,[267239],22161,295562.44,262120,0,2,267239
267454,[267239],23202,295562.44,262120,0,2,267239
267455,[266936],23423,295563.28,262120,0,2,266936
267457,[266802],23488,295563.22,262120,0,2,266802
267458,[266788],23587,295563.3,262120,0,2,266788
267464,[267245],24093,295562.28,262120,0,2,267245
267477,[267303],26837,295561.22,262120,0,3,267303
267483,[266974],27641,295560.84,262120,0,3,266974
267485,[266565],28167,295559.38,262120,0,3,266565
267490,[267303],29624,295561.22,262120,0,3,267303
267501,[267293],32335,295562.56,262120,0,3,267293
267506,[266589],117,295565.97,262121,0,0,266589
267507,[266724],124,295564.38,262121,0,0,266724
267514,[267189],1116,295564.25,262121,0,0,267189
267529,[267163],2520,295566.53,262121,0,0,267163
267534,[265754],3391,295564.8,262121,0,0,265754
267544,[266384],5665,295564.88,262121,0,0,266384
267545,[266378],5946,295563.88,262121,0,0,266378
267558,[267070],8733,295553.72,262121,0,1,267070
267568,[267393],11070,295555.4,262121,0,1,267393
267582,[266649],13276,295554.44,262121,0,1,266649
267635,[267424],19777,295563.3,262121,0,2,267424
267640,[267464],21455,295565.0,262121,0,2,267464
267647,[266936],21869,295562.9,262121,0,2,266936
267649,[267429],22914,295564.06,262121,0,2,267429
267661,[266675],23736,295565.06,262121,0,2,266675
267662,[267458],23799,295565.12,262121,0,2,267458
267692,[267490],29549,295562.12,262121,0,3,267490
267702,[267477],30922,295563.4,262121,0,3,267477
267706,[267485],31228,295562.22,262121,0,3,267485
