id,ancestor_list,loc,trait,origin_time,island,niche,ancestor_id
0,[none],0,,0,0,0,0
214589,[0],1233,13192.983,19509,38,4,0
337808,[0],22226,20218.285,29777,694,4,0
424933,[337808],21617,24744.197,36479,675,4,337808
535321,[0],12136,29966.326,44364,379,2,0
1047286,[0],10623,53032.2,78495,331,7,0
1185948,[0],23628,59019.52,87161,738,3,0
1627346,[0],11188,76355.08,113126,349,5,0
2138890,[535321],16041,95532.97,141545,501,2,535321
2435836,[1047286],8350,106111.055,157174,260,7,1047286
2451187,[0],25889,106614.31,157941,809,0,0
2511581,[424933],25522,108515.914,160817,797,4,424933
2619003,[424933],20856,111798.89,165700,651,6,424933
2663256,[0],24596,113139.24,167624,768,5,0
2682492,[0],5952,113747.06,168426,186,0,0
2708330,[2663256],25173,114367.32,169459,786,5,2663256
2743043,[1185948],26093,115465.43,170794,815,3,1185948
2917051,[2511581],23283,119590.58,177239,727,4,2511581
3032737,[2682492],9056,122370.555,181371,283,0,2682492
3182436,[1627346],11543,125988.04,186533,360,5,1627346
3208388,[2138890],14698,126497.53,187398,459,2,2138890
3229480,[2743043],26892,127147.78,188078,840,3,2743043
3259947,[0],28167,127563.875,189030,880,1,0
3262895,[3032737],9825,127622.66,189120,307,0,3032737
3356482,[0],27112,129519.25,191872,847,2,0
3467630,[1185948],17327,131755.62,195048,541,3,1185948
3635928,[3467630],16335,134833.84,199723,510,3,3467630
3650271,[2682492],6849,135095.56,200111,214,0,2682492
3720567,[214589],3995,136229.7,201961,124,6,214589
3839027,[3208388],16266,138364.11,204998,508,2,3208388
3877059,[3182436],9911,138997.84,205949,309,5,3182436
3896889,[3259947],29253,139333.39,206432,914,1,3259947
3960760,[2743043],23870,140442.36,207953,745,7,2743043
3973793,[2511581],26257,140556.1,208256,820,4,2511581
4079401,[337808],31728,142163.97,210656,991,4,337808
4116161,[2708330],29303,142699.69,211473,915,5,2708330
4146031,[3650271],9376,143141.7,212123,293,0,3650271
4279911,[3229480],25422,145283.38,214971,794,3,3229480
4355371,[2451187],29473,146153.2,216543,921,0,2451187
4376480,[4279911],25006,146611.81,216974,781,3,4279911
4408234,[3356482],25803,146835.31,217609,806,2,3356482
4447554,[3960760],25374,147445.61,218380,792,7,3960760
4464552,[3960760],23422,147716.23,218707,731,7,3960760
4528106,[4447554],25308,148497.02,219906,790,7,4447554
4561174,[3650271],6307,148796.08,220519,197,0,3650271
4563475,[3229480],30476,148970.11,220560,952,3,3229480
4634869,[4355371],28896,149722.0,221835,903,0,4355371
4667378,[2435836],8732,150142.4,222406,272,7,2435836
4724241,[4376480],23822,150912.56,223386,744,3,4376480
4731590,[4667378],8444,150864.08,223511,263,7,4667378
4833013,[2917051],22693,151972.72,225201,709,1,2917051
4859140,[3896889],30052,152325.6,225629,939,1,3896889
4903571,[2917051],21938,152760.2,226346,685,4,2917051
4939398,[3262895],8806,153098.55,226915,275,1,3262895
5019029,[2663256],17910,153947.14,228159,559,5,2663256
5021588,[4634869],28728,153987.52,228198,897,6,4634869
5137474,[2708330],25365,155252.42,229954,792,5,2708330
5195351,[4464552],20893,155867.47,230818,652,7,4464552
5247825,[4939398],8614,156250.12,231590,269,1,4939398
5288658,[4563475],237,156748.03,232182,7,3,4563475
5319645,[5137474],24662,157050.11,232624,770,5,5137474
5378421,[2451187],20227,157521.11,233452,632,0,2451187
5389092,[4528106],26014,157709.11,233600,812,7,4528106
5410534,[2619003],19611,157815.62,233894,612,6,2619003
5450993,[5247825],9319,158205.02,234441,291,1,5247825
5478757,[2138890],16645,158431.81,234811,520,1,2138890
5668388,[4724241],21134,160251.86,237306,660,3,4724241
5668709,[5137474],25781,160210.45,237310,805,5,5137474
5862486,[4561174],3968,161781.22,239795,124,0,4561174
5869376,[3635928],11213,161808.64,239882,350,3,3635928
5875689,[214589],8467,161828.19,239961,264,4,214589
5946740,[1047286],13598,162489.14,240838,424,7,1047286
5951389,[3720567],4825,162476.53,240895,150,6,3720567
5970515,[5410534],19128,162700.52,241125,597,6,5410534
6024043,[4408234],26315,163108.4,241762,822,2,4408234
6045224,[4859140],32326,163347.05,242011,1010,1,4859140
6080997,[3356482],31562,163559.81,242427,986,2,3356482
6094285,[5319645],23776,163709.7,242580,743,0,5319645
6120933,[4903571],18706,163816.12,242883,584,4,4903571
6218704,[5951389],3963,164571.94,243982,123,6,5951389
6225424,[4447554],25346,164711.75,244056,792,0,4447554
6249246,[3839027],18633,164836.84,244318,582,2,3839027
6290189,[5668388],19598,165266.06,244763,612,3,5668388
6328043,[5195351],20543,165586.6,245170,641,7,5195351
6357597,[4116161],436,165543.38,245485,13,5,4116161
6364640,[5247825],6565,165646.69,245559,205,1,5247825
6441003,[6328043],20349,166366.44,246354,635,7,6328043
6452980,[6218704],3451,166220.72,246478,107,6,6218704
6481448,[5410534],19739,166510.11,246768,616,6,5410534
6529594,[5021588],30105,166831.55,247254,940,6,5021588
6542810,[5288658],3180,167001.22,247387,99,3,5288658
6581488,[5862486],2114,167139.08,247770,66,0,5862486
6584081,[5478757],17382,167132.28,247795,543,1,5478757
6592749,[5668388],20973,167380.08,247879,655,3,5668388
6606652,[5450993],10948,167284.62,248013,342,1,5450993
6657146,[3032737],7531,167605.05,248494,235,2,3032737
6660910,[4833013],23558,167625.03,248529,736,1,4833013
6673349,[4563475],31756,167935.16,248645,992,3,4563475
