id,ancestor_list,loc,trait,origin_time,island,niche,ancestor_id
0,[none],0,,0,0,0,0
253142,[0],610,404193.78,253142,0,0,0
259381,[253142],4379,409166.25,256262,0,0,253142
269794,[253142],23902,414688.9,259733,0,2,253142
278696,[259381],6160,418270.3,261959,0,0,259381
279173,[269794],18983,418388.6,262054,0,2,269794
279266,[278696],5869,418446.7,262070,0,0,278696
279267,[269794],13564,418400.03,262070,0,1,269794
279314,[279267],9312,418410.12,262076,0,1,279267
279327,[259381],29118,418442.34,262077,0,3,259381
279411,[279267],10216,418426.47,262086,0,1,279267
279421,[279411],8792,418427.75,262087,0,1,279411
279422,[279411],9223,418427.75,262087,0,1,279411
279432,[279421],8867,418429.25,262088,0,1,279421
279462,[279432],10772,418431.84,262090,0,1,279432
279522,[278696],5898,418487.2,262094,0,0,278696
279539,[279522],4966,418488.94,262095,0,0,279522
279611,[279539],7360,418492.8,262099,0,0,279539
279787,[279432],11686,418459.1,262108,0,1,279432
279800,[279539],5332,418509.47,262109,0,0,279539
279805,[279787],11834,418462.0,262109,0,1,279787
279819,[279800],3028,418512.16,262110,0,0,279800
279824,[279462],8242,418461.7,262110,0,1,279462
279843,[279819],1860,418513.28,262111,0,0,279819
279919,[279843],1089,418517.53,262114,0,0,279843
279921,[279266],2563,418517.9,262114,0,0,279266
279971,[279173],21825,418482.62,262115,0,2,279173
279973,[279327],27157,418504.5,262115,0,3,279327
279988,[279805],8794,418471.78,262116,0,1,279805
280000,[279971],17399,418486.47,262116,0,2,279971
280002,[279971],20633,418486.47,262116,0,2,279971
280004,[279973],27071,418505.97,262116,0,3,279973
280005,[279973],30847,418505.97,262116,0,3,279973
280015,[279921],3499,418522.25,262117,0,0,279921
280033,[280000],17266,418487.44,262117,0,2,280000
280042,[280004],29616,418507.2,262117,0,3,280004
280043,[280004],30150,418507.2,262117,0,3,280004
280047,[279919],2198,418523.6,262118,0,0,279919
280064,[279314],11992,418474.94,262118,0,1,279314
280069,[279824],14640,418475.0,262118,0,1,279824
