id,ancestor_list,origin_time,destruction_time,taxon_label,ancestor_id
84573,[81699],32767.0,32769.0,Inner+r=32767+d=CD+uid=aZ8Hgm3_8sHe-WiR-Ie8Z,81699
84574,[81699],32767.0,32769.0,Inner+r=32767+d=l+uid=Cnb7yXwVGZeIfHkHymFotO,81699
84577,[78136],32767.0,32769.0,Inner+r=32767+d=Do+uid=BL6GErpMAcI7kI_sLCZjM4,78136
84580,[81703],32767.0,32769.0,Inner+r=32767+d=Cp+uid=-V9Yax9t6U4kpc0Yv5C6u,81703
84581,[81703],32767.0,32769.0,Inner+r=32767+d=BC+uid=m437Y4kxsX0hbXFv-AgEt,81703
84582,[81703],32767.0,32769.0,Inner+r=32767+d=Dn+uid=DZBP3bqTBSZCIyosxhhp6P,81703
84583,[81704],32767.0,32769.0,Inner+r=32767+d=Cy+uid=Cr5M6NElMLftTRSdQHPGIY,81704
84584,[81704],32767.0,32769.0,Inner+r=32767+d=V+uid=B0zLzhTC905shrf3SgXMo5,81704
84586,[79707],32767.0,32769.0,Inner+r=32767+d=BH+uid=CMF_MtDDVft2h291qQflfv,79707
84588,[81706],32767.0,32769.0,Inner+r=32767+d=Cc+uid=BBeo6BweB3egFyZ085pY9Y,81706
84590,[81706],32767.0,32769.0,Inner+r=32767+d=BK+uid=CQvVpDKPspJOnnsY4fRp12,81706
84594,[72776],32767.0,32769.0,Inner+r=32767+d=CC+uid=BieGCQ8omlO9mzVa7l2EZU,72776
84595,[75681],32767.0,32769.0,Inner+r=32767+d=BU+uid=1HhGrQY3CrGDkfwdM8mP_,75681
84596,[81709],32767.0,32769.0,Inner+r=32767+d=t+uid=BKShxHFGiwCP5PKr1jFTx2,81709
84597,[81709],32767.0,32769.0,Inner+r=32767+d=Cd+uid=ccLBmbXDX5cbS17og8TSw,81709
84599,[81710],32767.0,32769.0,Inner+r=32767+d=CX+uid=C1T3COKkvQghjSCEAe2Jkh,81710
84600,[81710],32767.0,32769.0,Inner+r=32767+d=Dk+uid=COSjfeNXoLKNcxvW5XiiVz,81710
84602,[78143],32767.0,32769.0,Inner+r=32767+d=DN+uid=Dlqt7tp7A0hZAtxHnxjDNE,78143
84604,[79714],32767.0,32769.0,Inner+r=32767+d=Df+uid=WSR1pUsYbis3k9bevWIbC,79714
84606,[81716],32767.0,32769.0,Inner+r=32767+d=Cr+uid=DUF2IXRHgNm9ae3AFml81J,81716
84608,[81717],32767.0,32769.0,Inner+r=32767+d=CP+uid=CNnIc0bZ6rXmbNJy44Rcc2,81717
84612,[81719],32767.0,32769.0,Inner+r=32767+d=Du+uid=CshmFf-JSL2UDZbqtuE0oe,81719
84613,[81719],32767.0,32769.0,Inner+r=32767+d=D7+uid=BOBI1cSAO9urOzAKRxr5Bu,81719
84614,[81720],32767.0,32769.0,Inner+r=32767+d=F+uid=BVJyrslUGIO9NuJVcHKTK,81720
84617,[81721],32767.0,32769.0,Inner+r=32767+d=DU+uid=arhTHtMybmABSsIJ_IAZJ,81721
84621,[81722],32767.0,32769.0,Inner+r=32767+d=BZ+uid=BqcSVWz5LvO0owTGkL1VY4,81722
84624,[75685],32767.0,32769.0,Inner+r=32767+d=CK+uid=B3y8cPmKPT6wSTPzze5zUX,75685
84625,[81725],32767.0,32769.0,Inner+r=32767+d=C_+uid=h8RnxIuWHef0wHyTgOeWR,81725
84630,[68193],32767.0,32769.0,Inner+r=32767+d=G+uid=DBfS5WTweN7uWGACgWvn71,68193
84631,[78152],32767.0,32769.0,Inner+r=32767+d=Dc+uid=DM224OmEdjqjgTFh-WqODP,78152
84633,[76843],32767.0,32769.0,Inner+r=32767+d=Bw+uid=B7PiqHZONBu7m9P7EUveLq,76843
84634,[76843],32767.0,32769.0,Inner+r=32767+d=BJ+uid=DcO5kpyw1xvgCEKfPOgRNp,76843
84636,[81732],32767.0,32769.0,Inner+r=32767+d=x+uid=C5iXabxR5jSZv-mBCxPtfS,81732
84637,[81732],32767.0,32769.0,Inner+r=32767+d=Cj+uid=xzB-yFYxMYnOFr2iqm3dc,81732
84640,[81734],32767.0,32769.0,Inner+r=32767+d=f+uid=wqIGAmsytMxMw37TJ0AEe,81734
84641,[81734],32767.0,32769.0,Inner+r=32767+d=C3+uid=B42sl6qbWkFNgzLyPH2PNw,81734
84644,[79732],32767.0,32769.0,Inner+r=32767+d=Dn+uid=CHfUlE3i1IjeYpkbClSdkK,79732
84646,[81736],32767.0,32769.0,Inner+r=32767+d=Dz+uid=DW0oUZEKvcmJSDHS2_FN5i,81736
84647,[81737],32767.0,32769.0,Inner+r=32767+d=n+uid=DEwuacwnR7Uep_1QPfdljS,81737
84649,[79733],32767.0,32769.0,Inner+r=32767+d=BV+uid=DtDj4vl-VBpiuu-JeBdLFP,79733
84650,[79734],32767.0,32769.0,Inner+r=32767+d=Bb+uid=CmzqamDKNWs58ykVJS1hGO,79734
84651,[81740],32767.0,32769.0,Inner+r=32767+d=B+uid=qrROxvcgcTfLluWI8Y9VH,81740
84652,[81740],32767.0,32769.0,Inner+r=32767+d=C6+uid=BleicxhwI6mW-uw81ORhXl,81740
84655,[81741],32767.0,32769.0,Inner+r=32767+d=DZ+uid=dxZmHwwzIdpSC-maqRE5k,81741
84659,[78161],32767.0,32769.0,Inner+r=32767+d=Cc+uid=SZ4LjYCsO_NLaXmqsqpOf,78161
84660,[78161],32767.0,32769.0,Inner+r=32767+d=CQ+uid=eQVog-nKCuiqETWKU1m28,78161
84663,[81749],32767.0,32769.0,Inner+r=32767+d=CR+uid=DrG1wfE132qcq9_1O6aOBu,81749
84665,[81750],32767.0,32769.0,Inner+r=32767+d=BR+uid=CZovcljb5PcMu9ZJQJ-qsb,81750
84668,[81751],32767.0,32769.0,Inner+r=32767+d=C7+uid=Cb-9HnbQRgdXJH5YaM-Ql_,81751
84669,[81751],32767.0,32769.0,Inner+r=32767+d=D2+uid=DwXf55nvPcbuRGY-izf2QO,81751
84671,[81753],32767.0,32769.0,Inner+r=32767+d=Ct+uid=CpxN-vviDqtSRgsBr-koSl,81753
84672,[81753],32767.0,32769.0,Inner+r=32767+d=BM+uid=RupC55JLpyC8o7kzco11r,81753
84675,[81755],32767.0,32769.0,Inner+r=32767+d=BC+uid=D6oclHF1pa8GPUqFsSSiHP,81755
84676,[81755],32767.0,32769.0,Inner+r=32767+d=CJ+uid=CZNuxXjqn_fKlVjDmmxy50,81755
84678,[81756],32767.0,32769.0,Inner+r=32767+d=3+uid=BvQD1MOXvPy-YEgNLX_Sdw,81756
84679,[81756],32767.0,32769.0,Inner+r=32767+d=T+uid=Tq4OV7spVtM_h3s7vHuuh,81756
84681,[81757],32767.0,32769.0,Inner+r=32767+d=Ct+uid=DgUiQgN6FOJygJ7bszYuQ5,81757
84683,[81759],32767.0,32769.0,Inner+r=32767+d=y+uid=CaI64lbUMt11f31Hjwri38,81759
84687,[79748],32767.0,32769.0,Inner+r=32767+d=w+uid=Cg8CY0uImiNiM6wBBFEP8a,79748
84688,[76855],32767.0,32769.0,Inner+r=32767+d=G+uid=BcufD2DI4NlTY4IJKmu2hI,76855
84690,[81764],32767.0,32769.0,Inner+r=32767+d=Dm+uid=5-qpsOazRWKHDwT2GNBzQ,81764
84691,[81764],32767.0,32769.0,Inner+r=32767+d=B-+uid=DQyDhxQ_VKhjlb9YMSdvRs,81764
84692,[81764],32767.0,32769.0,Inner+r=32767+d=DT+uid=_YYSfzfLzSPDZwLj2loB8,81764
84693,[81765],32767.0,32769.0,Inner+r=32767+d=Bs+uid=CTMA5FUluSNWhUYyjoIuEn,81765
84694,[81765],32767.0,32769.0,Inner+r=32767+d=Cj+uid=D-w5peC_wbhsK-oO4fZAA2,81765
84697,[76858],32767.0,32769.0,Inner+r=32767+d=D8+uid=CiB58E3BW8G85z6kP8w4ug,76858
84698,[81767],32767.0,32769.0,Inner+r=32767+d=a+uid=B7JRV0HDzUvZhv14n-jfch,81767
