id,ancestor_list,origin_time,destruction_time,num_orgs,tot_orgs,num_offspring,total_offspring,depth,sequence
13142698,[13140803],53297,53319,0,1,1,3600,3288,xwmjagcyhaoyqocyobsalcbabsdsovpbnbalkstqwtynmcvqvxzltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
13135587,[13128425],53269,53313,0,1,1,3600,3286,xwmjagcyhaoyqocyobsalcbabsdsovpbnbalkstqwtynmcvqvxzltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
13140803,[13135587],53290,53298,0,1,1,3600,3287,xwmjagcyhaoyqocyobsalcbabsdsovpbnbalkstqwtynmcvqvxzltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
25145884,[25142215],99746,99797,0,1,1,1,5969,xwpjagcvslnanvyhyjaybvrvkvdulqtusradvfpmamjijiasyvomciylzcpavbkvffkupsscomsiokltaubcbvqcbvnptudvjalczvvvvfcjvvgaiy
13358685,[13357194],54132,54191,0,1,1,3600,3337,xwmjagcyhaoyqocbobsahcpabsauovpbnbaszsbrweynmnvpvxxltkbjcickavvezvvstkdcvjopbxcbvaydfvovvixwyyponazvvvvfcajvvgabrd
13119027,[13115887],53205,53256,0,1,1,3600,3284,xwmjagcyhaoylocyobsalcbabsdsovpbnbalkstqwtynmcvqvxzltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
13115887,[13114185],53194,53214,0,1,1,3600,3283,xwmjagcyhaoylocyobsalcbabsdsovpbnbalkstqwtynmcvqvxzltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
13104597,[13090805],53149,53210,0,1,1,3600,3280,xwmjagcyhaoylocyobsalcbabsdsovpbnbalkstqwtynmcvqvxzltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
24208784,[24203183],96127,96155,0,1,1,1692,5757,xwpjagcvzjnrsyzyyaybwdvtvadcljfmrvvvufvoozxcrkaapcwtdaxvuwmmvwusznxdpdiecvicboujwcjvxiibbpvoodicyyqyzvvvvfcjvvgabb
13335105,[13331465],54040,54070,0,1,1,3600,3332,xwmjagcyhaoyqocbobsahcpabsauovpbnbaszsbrwtynmnvpvxxltkbjcickavvezvvstkdcvjopbxcbvzydfvovvixwyyponazvvvvfcajvvgabrd
25198732,[25196985],99947,99965,0,1,1,5,5977,xwtjagcvsinanvybyxaybvfvkvducqcusevbvmomaxxiciarbjomciqlzfpavolvwfkunosconsiokltabpsbvlcbvzptudvjalczvvvvfcjvvgaiy
13090805,[13087403],53097,53158,0,1,1,3600,3279,xwmjagcyhaoylocyobsalcbabsdsovpbnbalkstqwtynmcvqvxzltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
18296562,[18292568],73528,73551,0,1,1,3600,4452,xwajagcikbbyymdaabvqnjccoujejvvsvulkrrypxescrpavvvvriybrbzphzymiubikczbqvsxplapblntfvlqrpcnyyjptzvvvvfcajvvgabdd
15070275,[15063722],60804,60814,0,1,1,3600,3724,xwojagcyhszybjcyshvnaxzkvjjaiuvubclaqanouymcmcqvqvcwrzybzcnckjvubvvtbkzbvxtpbnqqvazbjvdvvoyinqyyotazvvvvfcajvvgabjh
13083370,[13081659],53068,53094,0,1,1,3600,3277,xwmjagcyhaoylocyobsalcbabsdsovpbnbalkstqwtynmcvqvszltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
13081659,[13078598],53061,53069,0,1,1,3600,3276,xwmjagcyhaoylocyobsalcbabsdsovpbnbalkstqwtynmcvqvszltkbjcicyavvpdvvstkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
25075538,[25070256],99478,99509,0,1,1,25,5936,xwbpjagcvdalwvzpyymwddvlvadcyafwcxvvducvousmczkwaicqpjzzcwyuvlsdxtsqioaviyiouppkvdvqeaxuacurdicyyqpzvvvvfcjvvgapx
13071259,[13069403],53021,53033,0,1,1,3600,3273,xwmjagcyhaoylocyobsalcbabsdsovpbnbalkstqwtynmcvqvpzltkbjcicyavvpdvvsrkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
13065455,[13061778],52999,53025,0,1,1,3600,3271,xwmjagcyhaoylocyobsalubabsdsovpbnbalkotzwtynmcvqvpzltkbjcicyavvpdvvsrkdcvjopbxczvzydfvovvdxwyyponazvvvvfcajvvgabrd
13060218,[13056712],52978,52987,0,1,1,3600,3269,xwqjagcyhaoylocyobsalubabsdsovpbnbalkotzwtynmcvqvpzltkbjcicyavvpdvvsrkdcvjopbxcwvzydfvovvdxwyyponazvvvvfcajvvgabrd
13049427,[13040903],52937,52969,0,1,1,3600,3267,xwqjagcyhaoylocyoblalubabsdsovpbnbalkotzwtynmcvqvpzpdkbjcicyavvpdvvsrkdcvjopbxcwvzydfvovvdxwyyponazvvvvfcajvvgabrd
13040903,[13026413],52904,52958,0,1,1,3600,3266,xwqjagcyhaoylocyoblalubcbsdsovpbnbalkotzwtynmcvqvpzpdkbjcicyavvpdvvsrkdcvjopbxcwvzydfvovvdxwyyponazvvvvfcajvvgabrd
