regime1,regime2,n,phylometric,statistic,p,epoch,mut_distn
spatial structure,4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,4 niche ecology,50,num_ancestors,0.0,7.551804758280675e-10,0,np.random.standard_normal
spatial structure,4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,8 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,8 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,8 niche ecology,50,num_ancestors,0.0,7.550097219539461e-10,0,np.random.standard_normal
spatial structure,8 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,plain,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,plain,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,plain,50,num_ancestors,0.0,7.555220876380673e-10,0,np.random.standard_normal
spatial structure,plain,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,strong selection,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,strong selection,50,mean_pairwise_distance,214.0,4.348016375331447e-05,0,np.random.standard_normal
spatial structure,strong selection,50,num_ancestors,0.0,7.553512643873762e-10,0,np.random.standard_normal
spatial structure,strong selection,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,weak 4 niche ecology,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,weak 4 niche ecology,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,weak 4 niche ecology,50,num_ancestors,0.0,7.553512643873762e-10,0,np.random.standard_normal
spatial structure,weak 4 niche ecology,50,mean_evolutionary_distinctiveness,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,weak selection,50,colless_like_index,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,weak selection,50,mean_pairwise_distance,0.0,7.556929455863566e-10,0,np.random.standard_normal
spatial structure,weak selection,50,num_ancestors,0.0,7.553512643873762e-10,0,np.random.standard_normal
spatial structure,weak selection,50,mean_evolutionary_distinctiveness,405.0,0.024807493454958803,0,np.random.standard_normal
