quality,n,phylometric,statistic,p,epoch,mut_distn
3% resolution,350,colless_like_index,30477.0,0.9010598858976946,7,np.random.exponential
3% resolution,350,mean_pairwise_distance,30418.0,0.8764514428956278,7,np.random.exponential
3% resolution,350,num_ancestors,29082.0,0.4403086848681188,7,np.random.exponential
3% resolution,350,mean_evolutionary_distinctiveness,29871.0,0.6568724094835122,7,np.random.exponential
33% resolution,350,colless_like_index,847.0,5.309843302699328e-56,7,np.random.exponential
33% resolution,350,mean_pairwise_distance,1725.0,7.3280818663800595e-53,7,np.random.exponential
33% resolution,350,num_ancestors,25648.0,0.007504284894323313,7,np.random.exponential
33% resolution,350,mean_evolutionary_distinctiveness,29745.0,0.6095247821517265,7,np.random.exponential
1% resolution,350,colless_like_index,30260.0,0.8111995621948969,7,np.random.standard_normal
1% resolution,350,mean_pairwise_distance,29978.0,0.6982016944907387,7,np.random.standard_normal
1% resolution,350,num_ancestors,27375.5,0.07813117579824677,7,np.random.standard_normal
1% resolution,350,mean_evolutionary_distinctiveness,29726.0,0.602518513391515,7,np.random.standard_normal
10% resolution,350,colless_like_index,17632.0,5.009281169605749e-12,7,np.random.standard_normal
10% resolution,350,mean_pairwise_distance,14587.0,1.6978877961505196e-17,7,np.random.standard_normal
10% resolution,350,num_ancestors,30201.5,0.7873434717091348,7,np.random.standard_normal
10% resolution,350,mean_evolutionary_distinctiveness,30070.0,0.7344730008558497,7,np.random.standard_normal
3% resolution,350,colless_like_index,28765.0,0.3039015228133374,7,np.random.standard_normal
3% resolution,350,mean_pairwise_distance,28301.0,0.20299942980369767,7,np.random.standard_normal
3% resolution,350,num_ancestors,27268.5,0.06904579820359777,7,np.random.standard_normal
3% resolution,350,mean_evolutionary_distinctiveness,29684.0,0.5871612245066284,7,np.random.standard_normal
33% resolution,350,colless_like_index,223.0,2.7354873852794547e-58,7,np.random.standard_normal
33% resolution,350,mean_pairwise_distance,19.0,4.773493638973644e-59,7,np.random.standard_normal
33% resolution,350,num_ancestors,23534.5,0.0001510525936337835,7,np.random.standard_normal
33% resolution,350,mean_evolutionary_distinctiveness,29624.0,0.5655423019109299,7,np.random.standard_normal
